item_name,item_id,item_ean,price,currency,item_brand,item_category,quantity,discount,archivo_origen,carpeta_origen,coupon,index,item_internal_id,item_list_name,item_provider,item_provider_type,item_shipping,item_sms,item_variant
bolsita-yogurin-con-platano-y-fresa-hero-solo-sin-gluten-y-sin-azucar-anadido-100-g,758357,8410175044860,1.14,EUR,hero,cat20006-bebe,1,,bebe\view-source_https___www.carrefour.es_supermercado_bebe_cat20006_c.html,bebe,,18,2003044015,catalog,carrefour,carrefour,home_delivery|drive,758357,
tarrito-de-arroz-con-pollo-desde-6-meses-hero-solo-sin-gluten-235-g,002403,8410175050120,1.75,EUR,hero,cat20006-bebe,1,,bebe\view-source_https___www.carrefour.es_supermercado_bebe_cat20006_c.html,bebe,,19,2003043761,catalog,carrefour,carrefour,home_delivery|drive,002403,
snack-puffs-maiz-y-avena-ecologico-hero-solo-25-g,094429,8410175081407,1.69,EUR,hero-solo,cat20006-bebe,1,,bebe\view-source_https___www.carrefour.es_supermercado_bebe_cat20006_c.html,bebe,,20,vc4aecomm-094429,catalog,carrefour,carrefour,home_delivery|drive,094429,
preparado-lacteo-infantil-de-crecimiento-con-cereales-y-fruta-desde-12-meses-puleva-peques-3-pack-de-3-unidades-de-200-ml,634004,8411700412321,1.99,EUR,puleva,cat20006-bebe,1,,bebe\view-source_https___www.carrefour.es_supermercado_bebe_cat20006_c.html,bebe,,21,2003043955,catalog,carrefour,carrefour,home_delivery|drive,634004,
panales-dodot-sensitive-t4-10-15-kg-48-ud,077971,8700216197915,31.49,EUR,dodot-sensitive-extra,cat20006-bebe,1,,bebe\view-source_https___www.carrefour.es_supermercado_bebe_cat20006_c.html,bebe,directo/sobre-producto/_50-que-vuelve,22,vc4a-6085118,catalog,carrefour,carrefour,home_delivery|drive,077971,
gusanitos-con-fresa-y-platano-ecologicos-smileat-sin-gluten-25-g,757324,8437017636359,1.58,EUR,smileat,cat20006-bebe,1,,bebe\view-source_https___www.carrefour.es_supermercado_bebe_cat20006_c.html,bebe,,23,vc4aecomm-757324,catalog,carrefour,carrefour,home_delivery|drive,757324,
toallitas-carrefour-baby-milky-x72,674099,3560071140632,1.37,EUR,carrefour-baby,cat20006-bebe,1,,bebe\view-source_https___www.carrefour.es_supermercado_bebe_cat20006_c.html,bebe,,24,2002916191,catalog,carrefour,carrefour,home_delivery|drive,674099,
postre-lacteo-de-natillas-desde-6-meses-nestle-yogolino-pack-de-4-unidades-de-100-g,256025,7613033689635,3.19,EUR,yogolino,cat20006-bebe,1,,bebe\view-source_https___www.carrefour.es_supermercado_bebe_cat20006_c_offset=120.html,bebe,,1,2003043844,catalog,carrefour,carrefour,home_delivery|drive,256025,
tarrito-de-verduritas-con-dorada-desde-8-meses-ecologico-carrefour-baby-bio-sin-gluten-pack-de-2-unidades-de-200-g,432845,8431876280470,3.69,EUR,carrefour-bio,cat20006-bebe,1,,bebe\view-source_https___www.carrefour.es_supermercado_bebe_cat20006_c_offset=120.html,bebe,,2,vc4aecomm-432845,catalog,carrefour,carrefour,home_delivery|drive,432845,
tarrito-de-verdura-con-merluza-desde-6-meses-ecologico-smileat-sin-gluten-230-g,021147,8437014583069,2.59,EUR,smileat,cat20006-bebe,1,,bebe\view-source_https___www.carrefour.es_supermercado_bebe_cat20006_c_offset=120.html,bebe,,3,2037536545,catalog,carrefour,carrefour,home_delivery|drive,021147,
bolsita-de-manzana-platano-y-fresa-nestle-cool-fruits-sin-azucar-anadido-110-g,625997,7613287218797,1.36,EUR,nestle,cat20006-bebe,1,,bebe\view-source_https___www.carrefour.es_supermercado_bebe_cat20006_c_offset=120.html,bebe,,4,vc4aecomm-625997,catalog,carrefour,carrefour,home_delivery|drive,625997,
bolsita-de-yogur-griego-manzana-platano-y-mango-ecologico-my-carrefour-baby-bio-sin-azucar-anadido-100-g,458655,8431876354812,0.99,EUR,carrefour,cat20006-bebe,1,,bebe\view-source_https___www.carrefour.es_supermercado_bebe_cat20006_c_offset=120.html,bebe,,5,vc4aecomm-458655,catalog,carrefour,carrefour,home_delivery|drive,458655,
bosita-de-pera-ciruela-zanahoria-y-remolacha-desde-8-meses-danone-bledina-sin-gluten-y-sin-azucar-anadido-100-g,649661,5900852070211,1.41,EUR,bledina,cat20006-bebe,1,,bebe\view-source_https___www.carrefour.es_supermercado_bebe_cat20006_c_offset=120.html,bebe,,6,vc4aecomm-649661,catalog,carrefour,carrefour,home_delivery|drive,649661,
preparado-lacteo-infantil-de-crecimiento-con-cereales-y-cacao-12-meses-puleva-peques-3-pack-de-3-unidades-de-200-ml,634006,8411700412314,1.99,EUR,puleva,cat20006-bebe,1,,bebe\view-source_https___www.carrefour.es_supermercado_bebe_cat20006_c_offset=120.html,bebe,,7,2003043956,catalog,carrefour,carrefour,home_delivery|drive,634006,
talco-para-bebe-my-carrefour-baby-250-g,305925,3560070435012,2.25,EUR,carrefour-baby,cat20006-bebe,1,,bebe\view-source_https___www.carrefour.es_supermercado_bebe_cat20006_c_offset=120.html,bebe,,8,vc4aecomm-305925,catalog,carrefour,carrefour,home_delivery|drive,305925,
panales-dodot-activity-t5-12-17-kg-48-ud,965016,4015400884859,31.4,EUR,dodot-activity-extra,cat20006-bebe,1,,bebe\view-source_https___www.carrefour.es_supermercado_bebe_cat20006_c_offset=120.html,bebe,,9,2007970409,catalog,carrefour,carrefour,home_delivery|drive,965016,
bolsita-de-yogur-y-avena-desde-12-meses-ecologico-smileat-100-g,547309,8437017636250,1.81,EUR,smileat,cat20006-bebe,1,,bebe\view-source_https___www.carrefour.es_supermercado_bebe_cat20006_c_offset=120.html,bebe,,10,vc4aecomm-547309,catalog,carrefour,carrefour,home_delivery|drive,547309,
tarrito-de-guisantes-con-jamon-desde-6-meses-ecologico-carrefour-baby-bio-200-g,432831,8431876280326,1.54,EUR,carrefour-bio,cat20006-bebe,1,,bebe\view-source_https___www.carrefour.es_supermercado_bebe_cat20006_c_offset=120.html,bebe,,11,vc4aecomm-432831,catalog,carrefour,carrefour,home_delivery|drive,432831,
tarrito-de-espaguetis-con-carne-y-verduras-desde-10-meses-hero-baby-pack-de-2-unidades-de-235-g,098634,8410175082350,4.09,EUR,hero,cat20006-bebe,1,,bebe\view-source_https___www.carrefour.es_supermercado_bebe_cat20006_c_offset=120.html,bebe,,12,vc4aecomm-098634,catalog,carrefour,carrefour,home_delivery|drive,098634,
papilla-infantil-desde-6-meses-8-cereales-con-galleta-maria-nestle-sin-azucar-anadido-725-g,516978,8445290686879,5.45,EUR,nestle,cat20006-bebe,1,,bebe\view-source_https___www.carrefour.es_supermercado_bebe_cat20006_c_offset=120.html,bebe,,13,vc4aecomm-516978,catalog,carrefour,carrefour,home_delivery|drive,516978,
panales-bebe-seco-dodot-t5-11-16-kg-72-ud,799268,8006540618660,27,EUR,dodot-bebe-seco,cat20006-bebe,1,,bebe\view-source_https___www.carrefour.es_supermercado_bebe_cat20006_c_offset=120.html,bebe,,14,vc4aecomm-799268,catalog,carrefour,carrefour,home_delivery|drive,799268,
tarrito-de-melocoton-y-platano-desde-4-meses-hero-baby-sin-gluten-190-g,130344,8410175083661,1.47,EUR,hero,cat20006-bebe,1,,bebe\view-source_https___www.carrefour.es_supermercado_bebe_cat20006_c_offset=120.html,bebe,,15,vc4aecomm-130344,catalog,carrefour,carrefour,home_delivery|drive,130344,
panales-dodot-activity-t4-10-15-kg-52-ud,965015,4015400930891,31.4,EUR,dodot-activity-extra,cat20006-bebe,1,,bebe\view-source_https___www.carrefour.es_supermercado_bebe_cat20006_c_offset=120.html,bebe,,16,2007970408,catalog,carrefour,carrefour,home_delivery|drive,965015,
bolsita-de-cacao-nesquik-110-g,570258,8445291390676,1.59,EUR,nestle,cat20006-bebe,1,,bebe\view-source_https___www.carrefour.es_supermercado_bebe_cat20006_c_offset=120.html,bebe,directo/sobre-producto/_50-que-vuelve,17,vc4aecomm-570258,catalog,carrefour,carrefour,home_delivery|drive,570258,
panales-dodot-sensitive-t3-7-11-kg-56-ud,078054,8700216197953,31.49,EUR,dodot-sensitive-extra,cat20006-bebe,1,,bebe\view-source_https___www.carrefour.es_supermercado_bebe_cat20006_c_offset=120.html,bebe,directo/sobre-producto/_50-que-vuelve,18,vc4a-6116853,catalog,carrefour,carrefour,home_delivery|drive,078054,
papilla-infantil-hero-crema-de-arroz-desde-4-meses-sin-gluten-y-sin-azucar-anadido-220-g,363810,8410175073792,2.95,EUR,hero,cat20006-bebe,1,,bebe\view-source_https___www.carrefour.es_supermercado_bebe_cat20006_c_offset=120.html,bebe,,19,fprod1410189,catalog,carrefour,carrefour,home_delivery|drive,363810,
panales-dodot-sensitive-t5-12-17-kg-44-ud,078041,8700216197892,31.49,EUR,dodot-sensitive-extra,cat20006-bebe,1,,bebe\view-source_https___www.carrefour.es_supermercado_bebe_cat20006_c_offset=120.html,bebe,directo/sobre-producto/_50-que-vuelve,20,vc4a-6085111,catalog,carrefour,carrefour,home_delivery|drive,078041,
panales-carrefour-baby-ultra-dry-talla-3-4-9-kg-104-ud,051800,3560071172398,14.99,EUR,carrefour-baby-ultra-dry,cat20006-bebe,1,,bebe\view-source_https___www.carrefour.es_supermercado_bebe_cat20006_c_offset=120.html,bebe,directo/sobre-producto/_2-unidad--50,21,vc4a-5952878,catalog,carrefour,carrefour,home_delivery|drive,051800,
ropa-interior-absorbente-nino-noche-drynites-4-7-anos-17-30-kg-16-ud,618745,5029053560151,12.55,EUR,drynites,cat20006-bebe,1,,bebe\view-source_https___www.carrefour.es_supermercado_bebe_cat20006_c_offset=120.html,bebe,directo/sobre-producto/_50-que-vuelve,22,2002618618,catalog,carrefour,carrefour,home_delivery|drive,618745,
bolsita-de-frutas-variadas-nestle-happy-fruits-sin-azucar-anadido-110-g,625996,7613287218704,1.36,EUR,nestle,cat20006-bebe,1,,bebe\view-source_https___www.carrefour.es_supermercado_bebe_cat20006_c_offset=120.html,bebe,,23,vc4aecomm-625996,catalog,carrefour,carrefour,home_delivery|drive,625996,
tarrito-de-verduritas-con-pollo-desde-6-meses-ecologico-carrefour-baby-bio-pack-de-2-unidades-de-200-g,432697,8431876280463,2.85,EUR,carrefour-bio,cat20006-bebe,1,,bebe\view-source_https___www.carrefour.es_supermercado_bebe_cat20006_c_offset=120.html,bebe,,24,vc4aecomm-432697,catalog,carrefour,carrefour,home_delivery|drive,432697,
tarrito-de-verduritas-con-pavo-desde-6-meses-ecologico-carrefour-baby-bio-pack-de-2-unidades-de-200-g,432838,8431876280432,2.85,EUR,carrefour-bio,cat20006-bebe,1,,bebe\view-source_https___www.carrefour.es_supermercado_bebe_cat20006_c_offset=144.html,bebe,,1,vc4aecomm-432838,catalog,carrefour,carrefour,home_delivery|drive,432838,
bolsita-de-naranja-platano-pera-y-galleta-desde-12-meses-hero-solo-sin-azucar-anadido-pack-4-unidades-de-100-g,103186,8410175068538,4.39,EUR,hero,cat20006-bebe,1,,bebe\view-source_https___www.carrefour.es_supermercado_bebe_cat20006_c_offset=144.html,bebe,directo/sobre-producto/_50-que-vuelve,2,vc4a-6299507,catalog,carrefour,carrefour,home_delivery|drive,103186,
tarrito-de-verduritas-con-ternera-desde-6-meses-ecologico-carrefour-baby-bio-pack-de-2-unidades-de-200-g,433079,8431876280425,2.85,EUR,carrefour-bio,cat20006-bebe,1,,bebe\view-source_https___www.carrefour.es_supermercado_bebe_cat20006_c_offset=144.html,bebe,,3,vc4aecomm-433079,catalog,carrefour,carrefour,home_delivery|drive,433079,
postre-lacteo-natural-desde-6-meses-nestle-yogolino-sin-gluten-y-sin-azucar-anadido-100-g,493253,7613287651266,1.3,EUR,yogolino,cat20006-bebe,1,,bebe\view-source_https___www.carrefour.es_supermercado_bebe_cat20006_c_offset=144.html,bebe,directo/sobre-producto/_2-unidad--50,4,vc4aecomm-493253,catalog,carrefour,carrefour,home_delivery|drive,493253,
bolsita-de-cacao-y-platano-nesquik-110-g,570252,8445291568075,1.59,EUR,nestle,cat20006-bebe,1,,bebe\view-source_https___www.carrefour.es_supermercado_bebe_cat20006_c_offset=144.html,bebe,directo/sobre-producto/_50-que-vuelve,5,vc4aecomm-570252,catalog,carrefour,carrefour,home_delivery|drive,570252,
yogur-infantil-de-yogurin-con-fresa-y-platano-hero-solo-sin-gluten-y-sin-azucar-anadido-pack-4-unidades-de-100-g,103176,8410175072955,4.39,EUR,hero,cat20006-bebe,1,,bebe\view-source_https___www.carrefour.es_supermercado_bebe_cat20006_c_offset=144.html,bebe,directo/sobre-producto/_50-que-vuelve,6,vc4a-6299508,catalog,carrefour,carrefour,home_delivery|drive,103176,
postre-lacteo-melocoton-y-platano-desde-6-meses-nestle-yogolino-sin-gluten-y-sin-azucar-anadido-pack-de-4-unidades-de-100-g,220349,7613036886994,3.19,EUR,yogolino,cat20006-bebe,1,,bebe\view-source_https___www.carrefour.es_supermercado_bebe_cat20006_c_offset=144.html,bebe,,7,vc4a-7375060,catalog,carrefour,carrefour,home_delivery|drive,220349,
gasas-bebe-para-limpieza-de-ojos-y-cara-dytas-100-us,638054,8432293000900,2.95,EUR,dytas,cat20006-bebe,1,,bebe\view-source_https___www.carrefour.es_supermercado_bebe_cat20006_c_offset=144.html,bebe,,8,vc4aecomm-638054,catalog,carrefour,carrefour,home_delivery|drive,638054,
panales-dodot-bebe-seco-t4-9-14-kg-78-ud,799243,8006540618608,27,EUR,dodot-bebe-seco,cat20006-bebe,1,,bebe\view-source_https___www.carrefour.es_supermercado_bebe_cat20006_c_offset=144.html,bebe,,9,vc4aecomm-799243,catalog,carrefour,carrefour,home_delivery|drive,799243,
preparado-lacteo-infantil-de-crecimiento-desde-3-anos-nestle-junior-original-sin-gluten-y-sin-azucar-anadido-brik-1-l,571081,8410100014333,2.39,EUR,nestle,cat20006-bebe,1,,bebe\view-source_https___www.carrefour.es_supermercado_bebe_cat20006_c_offset=144.html,bebe,,10,2003043939,catalog,carrefour,carrefour,home_delivery|drive,571081,
tarrito-de-arroz-con-pollo-y-verduritas-desde-6-meses-ecologico-carrefour-baby-bio-pack-de-2-unidades-de-200-g,432819,8431876280418,2.85,EUR,carrefour-bio,cat20006-bebe,1,,bebe\view-source_https___www.carrefour.es_supermercado_bebe_cat20006_c_offset=144.html,bebe,,11,vc4aecomm-432819,catalog,carrefour,carrefour,home_delivery|drive,432819,
panales-dodot-bebe-seco-t6-13-18-kg-66-ud,499500,8700216493512,22.2,EUR,dodot-bebe-seco,cat20006-bebe,1,,bebe\view-source_https___www.carrefour.es_supermercado_bebe_cat20006_c_offset=144.html,bebe,,12,vc4aecomm-499500,catalog,carrefour,carrefour,home_delivery|drive,499500,
papilla-infantil-desde-6-meses-avena-integral-con-ciruela-gerber-sin-azucar-anadido-250-g-,627575,7613287083791,4.89,EUR,gerber,cat20006-bebe,1,,bebe\view-source_https___www.carrefour.es_supermercado_bebe_cat20006_c_offset=144.html,bebe,,13,vc4aecomm-627575,catalog,carrefour,carrefour,home_delivery|drive,627575,
postre-lacteo-de-galleta-desde-12-meses-nestle-yogolino-pack-de-4-unidades-de-100-g,496596,7613287073563,3.19,EUR,yogolino,cat20006-bebe,1,,bebe\view-source_https___www.carrefour.es_supermercado_bebe_cat20006_c_offset=144.html,bebe,,14,vc4aecomm-496596,catalog,carrefour,carrefour,home_delivery|drive,496596,
agua-de-colonia-fragancia-original-con-menos-alcohol-nenuco-1100-ml,225765,8428076006689,6.79,EUR,nenuco,cat20006-bebe,1,,bebe\view-source_https___www.carrefour.es_supermercado_bebe_cat20006_c_offset=144.html,bebe,directo/sobre-producto/_50-que-vuelve,15,vc4aecomm-225765,catalog,carrefour,carrefour,home_delivery|drive,225765,
tarrito-de-multifrutas-con-mango-desde-6-meses-ecologico-hero-solo-120-g,596844,8410175092618,1.62,EUR,hero,cat20006-bebe,1,,bebe\view-source_https___www.carrefour.es_supermercado_bebe_cat20006_c_offset=144.html,bebe,,16,vc4aecomm-596844,catalog,carrefour,carrefour,home_delivery|drive,596844,
tarrito-de-guisito-de-alubias-desde-6-meses-ecologico-smileat-sin-gluten-230-g,864407,8437014583588,2.59,EUR,smileat,cat20006-bebe,1,,bebe\view-source_https___www.carrefour.es_supermercado_bebe_cat20006_c_offset=144.html,bebe,,17,vc4a-4559071,catalog,carrefour,carrefour,home_delivery|drive,864407,
bolsita-de-cereza-acai-y-amaranto-desde-8-meses-ecologico-smileat-sin-gluten-100-g,547310,8437017636243,1.81,EUR,smileat,cat20006-bebe,1,,bebe\view-source_https___www.carrefour.es_supermercado_bebe_cat20006_c_offset=144.html,bebe,,18,vc4aecomm-547310,catalog,carrefour,carrefour,home_delivery|drive,547310,
panales-dodot-bebe-seco-t7-15-kg-60-ud,499505,8700216493574,22,EUR,dodot-bebe-seco,cat20006-bebe,1,,bebe\view-source_https___www.carrefour.es_supermercado_bebe_cat20006_c_offset=144.html,bebe,,19,vc4aecomm-499505,catalog,carrefour,carrefour,home_delivery|drive,499505,
tarrito-de-verduritas-con-pollo-desde-6-meses-hero-baby-buenas-noches-sin-gluten-pack-de-2-unidades-190-g,529311,8410175013903,2.95,EUR,hero,cat20006-bebe,1,,bebe\view-source_https___www.carrefour.es_supermercado_bebe_cat20006_c_offset=144.html,bebe,,20,2003043924,catalog,carrefour,carrefour,home_delivery|drive,529311,
papilla-infantil-desde-6-meses-8-cereales-con-galleta-maria-nestle-sin-azucar-anadido-950-g,206309,8445290686770,6.85,EUR,nestle,cat20006-bebe,1,,bebe\view-source_https___www.carrefour.es_supermercado_bebe_cat20006_c_offset=144.html,bebe,directo/sobre-producto/_2-unidad--50,21,vc4aecomm-206309,catalog,carrefour,carrefour,home_delivery|drive,206309,
tarrito-de-pollo-con-arroz-desde-6-meses-ecologico-smileat-sin-gluten-230-g,021143,8437014583045,2.59,EUR,smileat,cat20006-bebe,1,,bebe\view-source_https___www.carrefour.es_supermercado_bebe_cat20006_c_offset=144.html,bebe,,22,2037536543,catalog,carrefour,carrefour,home_delivery|drive,021143,
