nombre,formato,precio,precio_ud/Kg/L,marca,categoria,subcategoria
filetes pechuga de pollo marinadas empanadas sin gluten,Bandeja 470 g aprox.,4.09,8.702127659574469,Desconocida,carne,aves y pollo
filetes pechuga de pollo finas hierbas marinadas,Bandeja 590 g aprox.,4.84,8.203389830508474,Desconocida,carne,aves y pollo
filetes pechuga de pollo certificado alimentado con un 50% de maiz,Bandeja 500 g aprox.,5.0,10.0,Desconocida,carne,aves y pollo
flautas de pollo y queso,Bandeja 280 g,2.2,7.857142857142857,Desconocida,carne,aves y pollo
pollo entero,"Bandeja 1,9 kg aprox.",6.65,3.5000000000000004,Desconocida,carne,aves y pollo
higados y corazones de pollo,Bandeja 300 g aprox.,1.2,4.0,Desconocida,carne,aves y pollo
cuartos traseros de pollo certificado alimentado con un 50% de maiz,Bandeja 830 g aprox.,4.15,5.000000000000001,Desconocida,carne,aves y pollo
alas de pollo,Bandeja 910 g aprox.,4.05,4.45054945054945,Desconocida,carne,aves y pollo
alas de pollo adobadas,Bandeja 630 g aprox.,3.53,5.603174603174603,Desconocida,carne,aves y pollo
contramuslos de pollo sin piel,Bandeja 810 g aprox.,3.4,4.197530864197531,Desconocida,carne,aves y pollo
carcasa de pollo certificado alimentado con un 50% de maiz,Bandeja 750 g aprox.,2.03,2.7066666666666666,Desconocida,carne,aves y pollo
jamoncitos de pollo certificado alimentado con un 50% de maiz,Bandeja 850 g aprox.,4.67,5.4941176470588236,Desconocida,carne,aves y pollo
pollo certificado entero alimentado con un 50% de maiz,"Bandeja 1,85 kg aprox.",9.25,5.0,Desconocida,carne,aves y pollo
alas partidas de pollo certificado alimentado con un 50% de maiz,Bandeja 640 g aprox.,4.29,6.703125,Desconocida,carne,aves y pollo
mollejas de pollo,Tarrina 380 g aprox.,2.03,5.342105263157894,Desconocida,carne,aves y pollo
sangre hervida de pollo,Paquete 500 g,2.2,4.4,Desconocida,carne,aves y pollo
patas de pollo,Bandeja 450 g aprox.,1.89,4.199999999999999,Desconocida,carne,aves y pollo
pollo churrasco,Bandeja 980 g aprox.,4.31,4.3979591836734695,Desconocida,carne,aves y pollo
filetes pechuga de pollo extra tiernos,Bandeja 560 g aprox.,4.48,8.0,Desconocida,carne,aves y pollo
solomillos de pollo certificado alimentado con un 50% de maiz,Bandeja 320 g aprox.,3.52,11.0,Desconocida,carne,aves y pollo
lagrimitas de pollo al limon empanadas sin gluten,Bandeja 410 g aprox.,3.44,8.390243902439025,Desconocida,carne,aves y pollo
filetes solomillos de pollo marinados empanados sin gluten,Bandeja 550 g aprox.,4.84,8.799999999999999,Desconocida,carne,aves y pollo
alas de pollo adobadas picantes,Bandeja 520 g aprox.,3.33,6.403846153846154,Desconocida,carne,aves y pollo
pinchos de pollo sin varilla adobados,Bandeja 500 g aprox.,4.3,8.6,Desconocida,carne,aves y pollo
pincho mexicano de pollo con varilla,Bandeja 470 g aprox.,4.84,10.297872340425533,Desconocida,carne,aves y pollo
pollo adobado y verduras,Bandeja 460 g aprox.,3.45,7.5,Desconocida,carne,aves y pollo
contramuslos deshuesados y sin piel de pollo certificado alimentado con un 50% de maiz,Bandeja 500 g aprox.,4.5,9.0,Desconocida,carne,aves y pollo
jamoncitos de pollo congelados,Paquete 1 kg,3.3,3.3,Desconocida,carne,carne congelada
alas de pollo congeladas,Paquete 1 kg,3.6,3.6,Desconocida,carne,carne congelada
medallones preparado de solomillo cerdo congelados marinados,Paquete 300 g aprox.,3.11,10.366666666666667,Desconocida,carne,carne congelada
solomillo de pavo marinado congelado,Paquete 400 g aprox.,3.12,7.8,Desconocida,carne,carne congelada
cuartos traseros de pollo congelados,Paquete 2 kg,6.1,3.05,Desconocida,carne,carne congelada
solomillo de cerdo marinado congelado,Paquete 800 g aprox.,6.24,7.8,Desconocida,carne,carne congelada
yemas de gallina congeladas,Tarrina 250 g,2.75,11.0,Desconocida,carne,carne congelada
paletilla de cordero entera congelada,"Pieza 1,2 kg aprox.",19.8,16.5,Desconocida,carne,carne congelada
paletilla de lechal entera congelada,Pieza 650 g aprox.,17.88,27.507692307692306,Desconocida,carne,carne congelada
pierna de lechal entera congelada,Pieza 720 g aprox.,12.17,16.90277777777778,Desconocida,carne,carne congelada
chuletas cordero de lechal congeladas,Paquete 550 g aprox.,15.4,28.0,Desconocida,carne,carne congelada
carrillada de cerdo congelada,Paquete 460 g aprox.,5.75,12.5,Desconocida,carne,carne congelada
carrillada de vacuno congelado,Paquete 600 g aprox.,10.5,17.5,Desconocida,carne,carne congelada
alas de pollo barbacoa congeladas,Paquete 750 g,3.7,4.933333333333334,Desconocida,carne,carne congelada
costillas de cerdo carnosas a tacos,Bandeja 620 g aprox.,4.96,8.0,Desconocida,carne,cerdo
filetes lomo de cerdo,Bandeja 510 g aprox.,3.52,6.901960784313726,Desconocida,carne,cerdo
filetes lomo de cerdo familiar,Bandeja 900 g aprox.,6.12,6.8,Desconocida,carne,cerdo
carrillada de cerdo,Bandeja 500 g aprox.,6.55,13.1,Desconocida,carne,cerdo
costilla de cerdo iberico adobada,Bandeja 500 g aprox.,3.78,7.56,Desconocida,carne,cerdo
chuletas de cerdo sajonia,Bandeja 390 g aprox.,3.67,9.41025641025641,Desconocida,carne,cerdo
costilla de cerdo churrasco,Pieza 820 g aprox.,4.92,6.0,Desconocida,carne,cerdo
panceta de cerdo,Bandeja 590 g aprox.,4.13,7.0,Desconocida,carne,cerdo
manos de cerdo,Bandeja 500 g aprox.,3.55,7.1,Desconocida,carne,cerdo
cerdo a tacos,Bandeja 560 g aprox.,3.22,5.75,Desconocida,carne,cerdo
filetes lomo de cerdo adobado,Bandeja 470 g aprox.,3.38,7.191489361702128,Desconocida,carne,cerdo
filetes lomo de cerdo adobado familiar,Bandeja 970 g aprox.,6.74,6.948453608247423,Desconocida,carne,cerdo
san jacobos de cerdo sin gluten,Bandeja 400 g aprox.,2.76,6.8999999999999995,Desconocida,carne,cerdo
filetes lomo de cerdo cabeza,Bandeja 670 g aprox.,4.49,6.701492537313433,Desconocida,carne,cerdo
flautas de bacon y queso,Bandeja 280 g,2.2,7.857142857142857,Desconocida,carne,cerdo
secreto de cerdo,Bandeja 490 g aprox.,3.18,6.4897959183673475,Desconocida,carne,cerdo
media careta de cerdo sin oreja,Bandeja 510 g aprox.,3.37,6.6078431372549025,Desconocida,carne,cerdo
fiambre de magro de cerdo adobado,Paquete 370 g,2.8,7.5675675675675675,Desconocida,carne,cerdo
filetes higado de cerdo,Bandeja 510 g aprox.,3.16,6.196078431372549,Desconocida,carne,cerdo
filetes lomo de cerdo grueso,Bandeja 560 g aprox.,4.48,8.0,Desconocida,carne,cerdo
presa de cerdo iberico,Bandeja 330 g aprox.,8.91,27.0,Desconocida,carne,cerdo
secreto de cerdo iberico,Bandeja 250 g aprox.,6.25,25.0,Desconocida,carne,cerdo
medallones preparado de solomillo cerdo provenzal,Bandeja 400 g aprox.,4.44,11.1,Desconocida,carne,cerdo
pinchos de cerdo adobado sin varilla,Bandeja 510 g aprox.,4.13,8.098039215686274,Desconocida,carne,cerdo
chuletas lomo de cerdo,Bandeja 550 g aprox.,3.55,6.454545454545454,Desconocida,carne,cerdo
chuletas aguja de cerdo,Bandeja 750 g aprox.,4.2,5.6000000000000005,Desconocida,carne,cerdo
filetes lomo de cerdo iberico,Bandeja 285 g aprox.,6.67,23.403508771929825,Desconocida,carne,cerdo
solomillo de cerdo,Paquete 550 g aprox.,4.51,8.2,Desconocida,carne,cerdo
panceta fina sin corteza corte fino,Bandeja 500 g aprox.,3.9,7.8,Desconocida,carne,cerdo
filetes lomo de cerdo extra tiernos,Bandeja 520 g aprox.,3.94,7.576923076923077,Desconocida,carne,cerdo
lomo de cerdo trozo,Pieza 970 g aprox.,4.46,4.597938144329897,Desconocida,carne,cerdo
pieza cabeza lomo de cerdo,"Pieza 1,15 kg aprox.",6.21,5.4,Desconocida,carne,cerdo
solomillo de cerdo adobado,Paquete 660 g aprox.,5.02,7.606060606060605,Desconocida,carne,cerdo
taquitos de cerdo,Bandeja 400 g aprox.,2.12,5.3,Desconocida,carne,cerdo
manteca de cerdo hacendado,Tarrina 220 g,2.2,10.0,Hacendado,carne,cerdo
medio conejo troceado,Bandeja 600 g aprox.,5.52,9.2,Desconocida,carne,conejo y cordero
conejo entero,"Pieza 1,21 kg aprox.",10.16,8.396694214876034,Desconocida,carne,conejo y cordero
paletillas de conejo,Bandeja 400 g aprox.,7.96,19.9,Desconocida,carne,conejo y cordero
chuletas de cordero palo y riñonada,Bandeja 430 g aprox.,12.47,29.000000000000004,Desconocida,carne,conejo y cordero
filetes higado de cordero,Bandeja 340 g aprox.,4.42,12.999999999999998,Desconocida,carne,conejo y cordero
garretas brazuelo de cordero,Bandeja 600 g aprox.,10.17,16.95,Desconocida,carne,conejo y cordero
cordero chuleteado,Bandeja 640 g aprox.,15.36,24.0,Desconocida,carne,conejo y cordero
burger de cordero al romero,Paquete 2 ud. (240 g),3.7,1.85,Desconocida,carne,conejo y cordero
longaniza magro fresca,Bandeja 535 g aprox.,3.37,6.299065420560748,Desconocida,carne,embutido
longaniza fresca sin tripa,Bandeja 560 g,3.3,5.892857142857142,Desconocida,carne,embutido
longaniza fresca de pollo,Bandeja 550 g aprox.,4.24,7.709090909090909,Desconocida,carne,embutido
morcilla de cebolla oreada,Bandeja 280 g aprox.,1.9,6.785714285714285,Desconocida,carne,embutido
botifarron de carne,Bandeja 350 g aprox.,2.62,7.485714285714287,Desconocida,carne,embutido
chorizo oreado,Bandeja 360 g aprox.,2.57,7.138888888888888,Desconocida,carne,embutido
chistorra,Paquete 220 g,1.55,7.045454545454546,Desconocida,carne,embutido
longaniza roja fresca,Bandeja 270 g aprox.,2.03,7.518518518518517,Desconocida,carne,embutido
longaniza fresca estilo criollo,Bandeja 380 g aprox.,3.34,8.789473684210526,Desconocida,carne,embutido
butifarra fresca,Bandeja 640 g aprox.,3.78,5.90625,Desconocida,carne,embutido
embutido surtido oreado,Bandeja 500 g aprox.,3.88,7.76,Desconocida,carne,embutido
morcilla de arroz y cebolla,Paquete 300 g aprox.,1.63,5.433333333333334,Desconocida,carne,embutido
embutido blanco,Bandeja 350 g aprox.,2.55,7.285714285714286,Desconocida,carne,embutido
chorizo aperitivo,Bandeja 300 g aprox.,2.59,8.633333333333333,Desconocida,carne,embutido
chorizo picante aperitivo,Bandeja 300 g aprox.,2.6,8.666666666666668,Desconocida,carne,embutido
burger de cerdo,Bandeja 6 ud. (540 g),2.9,0.48333333333333334,Desconocida,carne,hamburguesas y picadas
burger de vacuno y cerdo,Bandeja 6 ud. (540 g),4.5,0.75,Desconocida,carne,hamburguesas y picadas
burger de vacuno,Bandeja 6 ud. (540 g),5.9,0.9833333333333334,Desconocida,carne,hamburguesas y picadas
burger de pollo,Bandeja 6 ud. (540 g),3.95,0.6583333333333333,Desconocida,carne,hamburguesas y picadas
burger de pollo gruesa,Bandeja 2 ud. (360 g),3.2,1.6,Desconocida,carne,hamburguesas y picadas
burger de vacuno gruesas,Bandeja 2 ud. (360 g),4.8,2.4,Desconocida,carne,hamburguesas y picadas
burger de vacuno y cerdo con jamon y cebolla caramelizada,Bandeja 2 ud. (240 g),2.8,1.4,Desconocida,carne,hamburguesas y picadas
burger de pavo y espinacas,Bandeja 2 ud. (240 g),2.4,1.2,Desconocida,carne,hamburguesas y picadas
mini burgers de pollo,Bandeja 8 ud. (280 g),2.9,0.3625,Desconocida,carne,hamburguesas y picadas
mini burgers de vacuno y cerdo,Bandeja 8 ud. (280 g),3.1,0.3875,Desconocida,carne,hamburguesas y picadas
burger americana gruesas,Bandeja 2 ud. (360 g),3.1,1.55,Desconocida,carne,hamburguesas y picadas
burger crunchy chicken,Bandeja 2 ud. (240 g),2.0,1.0,Desconocida,carne,hamburguesas y picadas
hamburguesa de lomo de vacuno,Paquete 2 ud. (240 g),4.3,2.15,Desconocida,carne,hamburguesas y picadas
burger de vaca madurada,Paquete 180 g,3.1,17.222222222222225,Desconocida,carne,hamburguesas y picadas
burger de cordero al romero,Paquete 2 ud. (240 g),3.7,1.85,Desconocida,carne,hamburguesas y picadas
preparado de carne picada vacuno y cerdo,Bandeja 500 g,4.3,8.6,Desconocida,carne,hamburguesas y picadas
preparado de carne picada vacuno y cerdo,Bandeja 1 kg,8.4,8.4,Desconocida,carne,hamburguesas y picadas
preparado de carne picada cerdo,Bandeja 500 g,2.85,5.7,Desconocida,carne,hamburguesas y picadas
preparado de carne picada vacuno,Bandeja 500 g,5.5,11.0,Desconocida,carne,hamburguesas y picadas
preparado de carne picada vacuno,Bandeja 1 kg,10.8,10.8,Desconocida,carne,hamburguesas y picadas
albondigas de cerdo,Bandeja 24 ud. (840 g),4.55,0.18958333333333333,Desconocida,carne,hamburguesas y picadas
albondigas de pollo,Bandeja 840 g,6.0,7.142857142857143,Desconocida,carne,hamburguesas y picadas
preparado de carne picada vacuno,Paquete 400 g,5.35,13.374999999999998,Desconocida,carne,hamburguesas y picadas
preparado de carne picada pollo,Bandeja 500 g,3.95,7.9,Desconocida,carne,hamburguesas y picadas
preparado de carne picada cerdo sabor chorizo,Bandeja 500 g,3.85,7.7,Sabor,carne,hamburguesas y picadas
carpaccio de vacuno,Bandeja 110 g,4.1,37.272727272727266,Desconocida,carne,vacuno
filetes higado de vacuno,Bandeja 440 g aprox.,4.4,10.0,Desconocida,carne,vacuno
tacos de vacuno marinado para guisar,Bandeja 600 g aprox.,9.42,15.700000000000001,Desconocida,carne,vacuno
filetes de vacuno marinado extra tiernos,Bandeja 500 g aprox.,8.85,17.7,Desconocida,carne,vacuno
steak tartar de vacuno marinado,Bandeja 200 g,5.7,28.5,Desconocida,carne,vacuno
entrecot de vacuno añojo,Paquete 250 g aprox.,6.5,26.0,Desconocida,carne,vacuno
lomo de vacuno añojo,Paquete 337 g aprox.,7.75,22.997032640949552,Desconocida,carne,vacuno
solomillo de vacuno,Paquete 285 g aprox.,11.66,40.91228070175439,Desconocida,carne,vacuno
filetes de vacuno añojo para plancha,Bandeja 390 g aprox.,7.41,19.0,Desconocida,carne,vacuno
escalopin de vacuno añojo para plancha,Bandeja 410 g aprox.,7.58,18.48780487804878,Desconocida,carne,vacuno
churrasquito de vacuno añojo,Bandeja 165 g aprox.,3.47,21.03030303030303,Desconocida,carne,vacuno
nuggets de pollo hacendado ultracongelados,Paquete 500 g,2.7,5.4,Hacendado,carne,empanados y elaborados
delicias de pollo hacendado ultracongeladas,Paquete 500 g,3.7,7.4,Hacendado,carne,empanados y elaborados
croquetas de cocido hacendado ultracongeladas,Paquete 350 g,2.0,5.714285714285714,Hacendado,carne,empanados y elaborados
nuggets de pavo hacendado ultracongelados,Paquete 400 g,3.4,8.5,Hacendado,carne,empanados y elaborados
pollo marinado rebozado crispy american style hacendado ultracongelado,Paquete 500 g,4.9,9.8,Hacendado,carne,empanados y elaborados
"brochetas de pollo, pimiento verde y tocino de cerdo con varilla",Bandeja 370 g aprox.,3.11,8.405405405405405,Desconocida,carne,empanados y elaborados
flautas de pollo y queso,Bandeja 280 g,2.2,7.857142857142857,Desconocida,carne,empanados y elaborados
flautas de bacon y queso,Bandeja 280 g,2.2,7.857142857142857,Desconocida,carne,empanados y elaborados
filetes lomo de cerdo adobado,Bandeja 470 g aprox.,3.38,7.191489361702128,Desconocida,carne,empanados y elaborados
filetes lomo de cerdo adobado familiar,Bandeja 970 g aprox.,6.74,6.948453608247423,Desconocida,carne,empanados y elaborados
san jacobos de cerdo sin gluten,Bandeja 400 g aprox.,2.76,6.8999999999999995,Desconocida,carne,empanados y elaborados
filetes pechuga de pollo finas hierbas marinadas,Bandeja 590 g aprox.,4.84,8.203389830508474,Desconocida,carne,empanados y elaborados
filetes pechuga de pollo marinadas empanadas sin gluten,Bandeja 470 g aprox.,4.09,8.702127659574469,Desconocida,carne,empanados y elaborados
pinchos de cerdo adobado sin varilla,Bandeja 510 g aprox.,4.13,8.098039215686274,Desconocida,carne,empanados y elaborados
medallones preparado de solomillo cerdo provenzal,Bandeja 400 g aprox.,4.44,11.1,Desconocida,carne,empanados y elaborados
alas de pollo adobadas,Bandeja 630 g aprox.,3.53,5.603174603174603,Desconocida,carne,empanados y elaborados
fiambre de magro de cerdo adobado,Paquete 370 g,2.8,7.5675675675675675,Desconocida,carne,empanados y elaborados
costilla de cerdo iberico adobada,Bandeja 500 g aprox.,3.78,7.56,Desconocida,carne,empanados y elaborados
chuletas de cerdo sajonia,Bandeja 390 g aprox.,3.67,9.41025641025641,Desconocida,carne,empanados y elaborados
callos preparados de ternera rogusa,Paquete 500 g,3.75,7.5,Rogusa,carne,empanados y elaborados
oreja de cerdo cocida adobada rogusa,Paquete 500 g,4.25,8.5,Rogusa,carne,empanados y elaborados
pinchos de pollo sin varilla adobados,Bandeja 500 g aprox.,4.3,8.6,Desconocida,carne,empanados y elaborados
lagrimitas de pollo al limon empanadas sin gluten,Bandeja 410 g aprox.,3.44,8.390243902439025,Desconocida,carne,empanados y elaborados
filetes solomillos de pollo marinados empanados sin gluten,Bandeja 550 g aprox.,4.84,8.799999999999999,Desconocida,carne,empanados y elaborados
solomillo de cerdo adobado,Paquete 660 g aprox.,5.02,7.606060606060605,Desconocida,carne,empanados y elaborados
empanados de pollo picantes sin gluten,Bandeja 360 g,3.1,8.611111111111112,Desconocida,carne,empanados y elaborados
lomo de cerdo marinado empanado sin gluten,Bandeja 320 g aprox.,3.2,10.0,Desconocida,carne,empanados y elaborados
filetes de pechuga de pollo adobada,Bandeja 300 g,3.15,10.5,Desconocida,carne,empanados y elaborados
cereales rellenos de leche hacendado,Caja 500 g,2.4,4.8,Hacendado,cereales y galletas,cereales
mini cereales rellenos de leche hacendado,Caja 5 bolsitas (175 g),1.95,11.142857142857144,Hacendado,cereales y galletas,cereales
cereales rellenos de chocolate y avellana hacendado,Paquete 500 g,2.1,4.2,Hacendado,cereales y galletas,cereales
cereales estrellas de maiz stars hacendado con miel,Caja 400 g,2.1,5.25,Hacendado,cereales y galletas,cereales
cereales copos de maiz corn flakes hacendado 0% azucares añadidos,Caja 500 g,1.5,3.0,Corn Flakes,cereales y galletas,cereales
cereales copos de maiz corn flakes kellogg's,Caja 500 g,3.0,6.0,Corn Flakes,cereales y galletas,cereales
cereales de arroz inflado choco krispies kellogg's con chocolate,Caja 420 g,3.55,8.452380952380953,Choco Krispies,cereales y galletas,cereales
cereales copos de trigo chocodays hacendado con chocolate,Caja 500 g,2.0,4.0,Hacendado,cereales y galletas,cereales
cereales rellenos de crema de cacao y avellana hacendado sin gluten,Paquete 400 g,2.25,5.625,Hacendado,cereales y galletas,cereales
copos de avena sin gluten hacendado,Paquete 500 g,2.1,4.2,Hacendado,cereales y galletas,cereales
copos de avena brüggen,Caja 800 g,1.35,1.6875,Brüggen,cereales y galletas,cereales
cereales copos de trigo integral y arroz special k classic,Caja 450 g,3.25,7.222222222222222,Special K,cereales y galletas,cereales
muesli crunchy hacendado con chocolate,Paquete 500 g,2.45,4.9,Hacendado,cereales y galletas,cereales
cereales copos de trigo integral y arroz hacendado 0% azucares añadidos,Caja 500 g,2.0,4.0,Hacendado,cereales y galletas,cereales
cereales copos de trigo espelta integral hacendado 0% azucares añadidos,Paquete 400 g,1.7,4.25,Hacendado,cereales y galletas,cereales
muesli crunchy hacendado con frutos secos,Paquete 500 g,2.1,4.2,Hacendado,cereales y galletas,cereales
muesli crunchy hacendado 0% azucares añadidos y 0% edulcorantes,Paquete 500 g,2.0,4.0,Hacendado,cereales y galletas,cereales
cereales copos de trigo integral y arroz hacendado bañados en chocolate con leche,Caja 375 g,2.65,7.066666666666666,Hacendado,cereales y galletas,cereales
cereales copos tostados de trigo integral y arroz hacendado con chocolate,Caja 425 g,2.4,5.647058823529412,Hacendado,cereales y galletas,cereales
muesli crunchy hacendado con fruta,Paquete 500 g,2.1,4.2,Hacendado,cereales y galletas,cereales
avena molida hacendado,Paquete 500 g,1.15,2.3,Hacendado,cereales y galletas,cereales
cereales y semillas granola hacendado con frutos secos,Paquete 400 g,2.4,5.999999999999999,Hacendado,cereales y galletas,cereales
cereales con salvado de trigo fibra sticks hacendado,Caja 500 g,1.8,3.6,Hacendado,cereales y galletas,cereales
muesli hacendado con frutas,Paquete 1 kg,2.4,2.4,Hacendado,cereales y galletas,cereales
muesli hacendado 50% frutas y frutos secos,Paquete 500 g,2.1,4.2,Hacendado,cereales y galletas,cereales
"muesli hacendado con quinoa, chia y chocolate negro",Paquete 400 g,2.6,6.5,Hacendado,cereales y galletas,cereales
cereales cereal mix hacendado 0% azucares añadidos,Paquete 375 g,2.4,6.3999999999999995,Hacendado,cereales y galletas,cereales
cereales avena crunchy hacendado,Caja 400 g,1.9,4.749999999999999,Hacendado,cereales y galletas,cereales
cereales avena crunchy hacendado de cacao,Caja 400 g,2.15,5.374999999999999,Hacendado,cereales y galletas,cereales
barritas de cereales hacendado chocolate con leche,Caja 6 barritas (120 g),1.55,12.916666666666668,Hacendado,cereales y galletas,cereales
barritas de cereales hacendado con chocolate blanco,Caja 6 barritas (127 g),1.55,12.204724409448819,Hacendado,cereales y galletas,cereales
barritas de cereales muesli hacendado con chocolate,Caja 6 barritas (138 g),1.55,11.231884057971014,Hacendado,cereales y galletas,cereales
barritas de cereales con frutos secos hacendado,Caja 6 barritas (150 g),1.65,11.0,Hacendado,cereales y galletas,cereales
barritas con proteinas enervit sport sabor coco y chocolate,Caja 3 barritas (120 g),3.5,29.166666666666668,Enervit Sport,cereales y galletas,cereales
barritas de espelta hacendado sabor manzana,Caja 6 barritas (120 g),1.55,12.916666666666668,Hacendado,cereales y galletas,cereales
barritas de galleta rellenas de arandanos hacendado,Caja 5 barritas (125 g),1.55,12.4,Hacendado,cereales y galletas,cereales
barritas de cereales hacendado sabor mango,Caja 6 barritas (120 g),1.65,13.75,Hacendado,cereales y galletas,cereales
barritas de cereales con galleta animada hacendado,Caja 6 barritas (120 g),1.55,12.916666666666668,Hacendado,cereales y galletas,cereales
barritas de avena crunchy nature valley con chocolate negro,Caja 5 paquetes (210 g),2.6,12.380952380952381,Nature Valley,cereales y galletas,cereales
barrita con proteinas enervit sport sabor chocolate con leche,Caja 3 barritas (180 g),4.75,26.38888888888889,Enervit Sport,cereales y galletas,cereales
galletas maria dorada hacendado,Paquete 4 ud. (800 g),1.4,0.35,Hacendado,cereales y galletas,galletas
galletas divertidas con cereales hacendado,Caja 10 paquetes (411 g),2.0,4.866180048661801,Hacendado,cereales y galletas,galletas
galletas tostadas tosta rica,Caja 3 paquetes (570 g),2.95,5.175438596491229,Tosta Rica,cereales y galletas,galletas
galletas tostadas animadas hacendado,Paquete 4 ud. (800 g),1.9,0.475,Hacendado,cereales y galletas,galletas
galletas tostadas hacendado,Paquete 4 ud. (800 g),1.4,0.35,Hacendado,cereales y galletas,galletas
galletas relieve hacendado,Paquete 3 ud. (645 g),1.4,0.4666666666666666,Hacendado,cereales y galletas,galletas
galletas maria dorada hacendado 0% azucares añadidos,Caja 2 paquetes (400 g),1.5,3.75,Hacendado,cereales y galletas,galletas
galletas maria sin gluten y sin lactosa hacendado,Paquete 205 g,1.55,7.560975609756098,Hacendado,cereales y galletas,galletas
galletas tradicionales hacendado,Caja 2 paquetes (600 g),2.15,3.5833333333333335,Hacendado,cereales y galletas,galletas
galletas maria hacendado,Paquete 4 ud. (800 g),1.4,0.35,Hacendado,cereales y galletas,galletas
galletas canela hacendado,Caja 2 paquetes (500 g),1.5,3.0,Hacendado,cereales y galletas,galletas
galletas con mantequilla hacendado,Caja 125 g,1.15,9.2,Hacendado,cereales y galletas,galletas
galletas caramelizadas lotus biscoff,Paquete 12 ud. (186 g),1.55,0.12916666666666668,Lotus Biscoff,cereales y galletas,galletas
galletas de mantequilla hacendado belgas,Caja 6 paquetes (180 g),1.65,9.166666666666666,Hacendado,cereales y galletas,galletas
pastas de aceite hacendado,Caja 6 ud. (250 g),1.2,0.19999999999999998,Hacendado,cereales y galletas,galletas
galletas digestive hacendado,Paquete 2 ud. (800 g),1.6,0.8,Hacendado,cereales y galletas,galletas
galletas digestive avena hacendado,Paquete 425 g,1.0,2.3529411764705883,Hacendado,cereales y galletas,galletas
galletas digestive 0% azucares añadidos hacendado,Paquete 400 g,1.4,3.4999999999999996,Hacendado,cereales y galletas,galletas
galletas de espelta hacendado 0% azucares añadidos,Paquete 200 g,1.25,6.25,Hacendado,cereales y galletas,galletas
galletas maria integral hacendado,Paquete 4 ud. (800 g),1.4,0.35,Hacendado,cereales y galletas,galletas
galletas digestive avena hacendado,Caja 8 paquetes (384 g),1.85,4.817708333333333,Hacendado,cereales y galletas,galletas
galletas digestive choco y avena hacendado,Caja 6 paquetes (320 g),1.85,5.78125,Hacendado,cereales y galletas,galletas
galletas con avena y semillas hacendado,Paquete 200 g,1.25,6.25,Hacendado,cereales y galletas,galletas
galletas cookies hacendado,Paquete 225 g,1.6,7.111111111111112,Hacendado,cereales y galletas,galletas
galletas rebuenas hacendado rellenas de chocolate,Paquete 500 g,1.3,2.6,Hacendado,cereales y galletas,galletas
galletas mini oreo,Caja 4 bolsitas (160 g),1.95,12.1875,Oreo,cereales y galletas,galletas
galletas chocominis sabor chocolate hacendado,Caja 500 g,1.95,3.9,Hacendado,cereales y galletas,galletas
galletas digestive chocolate con leche hacendado,Paquete 300 g,1.4,4.666666666666667,Hacendado,cereales y galletas,galletas
galletas roditas bañadas con chocolate blanco hacendado,Caja 4 paquetes (300 g),2.3,7.666666666666666,Hacendado,cereales y galletas,galletas
galletas mini caritas hacendado con crema de cacao,Caja 8 paquetes (329 g),1.4,4.25531914893617,Hacendado,cereales y galletas,galletas
galletas caocream hacendado rellenas de crema,Caja 10 paquetes (440 g),1.7,3.8636363636363633,Hacendado,cereales y galletas,galletas
galletas choco negro con chocolatina hacendado,Caja 4 paquetes (150 g),1.4,9.333333333333334,Hacendado,cereales y galletas,galletas
barritas de galleta bañadas en chocolate con leche chips ahoy,Caja 5 barritas (140 g),1.5,10.714285714285714,Chips Ahoy,cereales y galletas,galletas
galletas mini cookies hacendado,Caja 4 bolsitas (160 g),1.4,8.75,Hacendado,cereales y galletas,galletas
galletas con chocolate y crema de leche hacendado,Caja 8 paquetes (268 g),2.65,9.888059701492537,Hacendado,cereales y galletas,galletas
galletas caocream chocolate blanco hacendado rellenas de crema,Caja 6 paquetes (252 g),2.1,8.333333333333334,Hacendado,cereales y galletas,galletas
galletas rellenas de chocolate hacendado 0% azucares añadidos,Paquete 250 g,1.4,5.6,Hacendado,cereales y galletas,galletas
barquillos rellenos sabor nata hacendado,Paquete 210 g,1.0,4.761904761904762,Hacendado,cereales y galletas,galletas
barquillos rellenos con crema de cacao hacendado,Paquete 175 g,0.95,5.428571428571429,Hacendado,cereales y galletas,galletas
galletas con chocolate blanco hacendado,"Caja 6 paquetes (235,8 g)",1.6,6.785411365564038,Hacendado,cereales y galletas,galletas
galletas digestive avena chocolate con leche hacendado,Paquete 280 g,1.7,6.07142857142857,Hacendado,cereales y galletas,galletas
barquillos rellenos de nata hacendado 0% azucares añadidos,Paquete 210 g,1.1,5.238095238095239,Hacendado,cereales y galletas,galletas
galletas cookies sin gluten y sin lactosa hacendado,Paquete 200 g,2.1,10.5,Hacendado,cereales y galletas,galletas
galletas choco leche con chocolatina hacendado,Caja 4 paquetes (150 g),1.4,9.333333333333334,Hacendado,cereales y galletas,galletas
galletas maria choco hacendado,Paquete 265 g,1.1,4.150943396226415,Hacendado,cereales y galletas,galletas
tartaletas con relleno de fresa hacendado,Paquete 150 g,1.05,7.000000000000001,Hacendado,cereales y galletas,galletas
barquillos con crema de avellanas hacendado,Paquete 250 g,1.5,6.0,Hacendado,cereales y galletas,galletas
galletas diverkao hacendado,Caja 8 paquetes (312 g),1.7,5.448717948717949,Hacendado,cereales y galletas,galletas
