nombre,formato,precio,precio_ud/Kg/L,marca,categoria,subcategoria
molinillo pimienta negra hacendado,Bote 65 g,1.85,28.461538461538463,Hacendado,"aceite, especias y salsas",especias
pimienta negra en grano hacendado,Bote 70 g,1.7,24.28571428571428,Hacendado,"aceite, especias y salsas",especias
molinillo mix pimientas hacendado,Bote 50 g,1.95,39.0,Hacendado,"aceite, especias y salsas",especias
pimienta blanca molida hacendado,Bote 70 g,2.3,32.857142857142854,Hacendado,"aceite, especias y salsas",especias
ajo granulado hacendado,Bote 115 g,1.2,10.43478260869565,Hacendado,"aceite, especias y salsas",especias
cebolla frita crujiente hacendado,Bote 150 g,1.15,7.666666666666666,Hacendado,"aceite, especias y salsas",especias
canela molida hacendado,Bote 52 g,1.0,19.23076923076923,Hacendado,"aceite, especias y salsas",especias
canela en rama hacendado,Bote 19 g,1.5,78.94736842105263,Hacendado,"aceite, especias y salsas",especias
comino molido hacendado,Bote 58 g,1.2,20.68965517241379,Hacendado,"aceite, especias y salsas",especias
comino en grano hacendado,Bote 56 g,1.95,34.82142857142857,Hacendado,"aceite, especias y salsas",especias
curry hacendado,Bote 57 g,1.3,22.80701754385965,Hacendado,"aceite, especias y salsas",especias
nuez moscada molida hacendado,Bote 58 g,1.65,28.44827586206896,Hacendado,"aceite, especias y salsas",especias
cebolla en polvo hacendado,Bote 60 g,0.94,15.666666666666666,Hacendado,"aceite, especias y salsas",especias
cayena guindillas hacendado,Bote 27 g,1.36,50.370370370370374,Hacendado,"aceite, especias y salsas",especias
cayena molida hacendado,Bote 55 g,1.65,30.0,Hacendado,"aceite, especias y salsas",especias
curcuma hacendado,Bote 60 g,1.3,21.666666666666668,Hacendado,"aceite, especias y salsas",especias
jengibre molido hacendado,Bote 49 g,1.65,33.6734693877551,Hacendado,"aceite, especias y salsas",especias
sal de ajo hacendado,Bote 130 g,1.8,13.846153846153847,Hacendado,"aceite, especias y salsas",especias
ñoras hacendado,Paquete 25 g,1.56,62.4,Hacendado,"aceite, especias y salsas",especias
clavo en grano hacendado,Bote 42 g,1.75,41.666666666666664,Hacendado,"aceite, especias y salsas",especias
piñones hacendado,Bote 70 g,3.02,43.14285714285714,Hacendado,"aceite, especias y salsas",especias
sazonador para fajitas hacendado sabor tex-mex,Sobre 17 g,0.85,49.99999999999999,Hacendado,"aceite, especias y salsas",especias
sazonador ajo y limon hacendado para carne y pescado,Sobre 30 g,1.05,35.0,Hacendado,"aceite, especias y salsas",especias
sazonador hierbas provenzales hacendado para pollo y costillas,Sobre 24 g,1.0,41.666666666666664,Hacendado,"aceite, especias y salsas",especias
sazonador barbacoa hacendado para pollo y costillas,Sobre 57 g,1.3,22.80701754385965,Hacendado,"aceite, especias y salsas",especias
sazonador para paella con azafran hacendado,Caja 5 sobres (20 g),1.5,0.3,Hacendado,"aceite, especias y salsas",especias
sazonador para burritos hacendado,Sobre 40 g,1.3,32.5,Hacendado,"aceite, especias y salsas",especias
sazonador pollo y carne hacendado,Bote 76 g,1.4,18.421052631578945,Hacendado,"aceite, especias y salsas",especias
sazonador pasta hacendado,Bote 45 g,1.6,35.55555555555556,Hacendado,"aceite, especias y salsas",especias
sazonador topping hacendado,Bote 45 g,1.85,41.111111111111114,Hacendado,"aceite, especias y salsas",especias
mezcla de especias para gazpacho manchego hacendado,Caja 5 sobres (10 g),2.5,0.5,Hacendado,"aceite, especias y salsas",especias
"sazonador sabor sour cream hacendado para patatas, snacks, carnes y salsas","2 sobres x 4,5 g",0.9,0.225,Hacendado,"aceite, especias y salsas",especias
mayonesa hacendado,Tarro 500 ml,1.2,2.4,Hacendado,"aceite, especias y salsas","mayonesa, ketchup y mostaza"
mayonesa hacendado,Tarro 240 ml,1.0,4.166666666666667,Hacendado,"aceite, especias y salsas","mayonesa, ketchup y mostaza"
mayonesa hacendado,Bote 490 ml,1.4,2.857142857142857,Hacendado,"aceite, especias y salsas","mayonesa, ketchup y mostaza"
mayonesa en sobres individuales hacendado,Caja 12 sobres (240 ml),1.3,0.10833333333333334,Hacendado,"aceite, especias y salsas","mayonesa, ketchup y mostaza"
