nombre,formato,precio,precio_ud/Kg/L,marca,categoria
postre lacteo natural desde 6 meses nestle yogolino sin gluten y sin azucar anadido 100 g,100 g,1.3,13.0,yogolino,bebe
bolsita de cacao y platano nesquik 110 g,110 g,1.59,14.454545454545455,nestle,bebe
yogur infantil de yogurin con fresa y platano hero solo sin gluten y sin azucar anadido pack 4 unidades de 100 g,pack 4 unidades de 100 g,4.39,1.0975,hero,bebe
postre lacteo melocoton y platano desde 6 meses nestle yogolino sin gluten y sin azucar anadido pack de 4 unidades de 100 g,pack de 4 unidades de 100 g,3.19,7.975,yogolino,bebe
gasas bebe para limpieza de ojos y cara dytas 100 us,1 paquete,2.95,2.95,dytas,bebe
panales dodot bebe seco t4 9 14 kg 78 ud,14 kg,27.0,1.9285714285714286,dodot bebe seco,bebe
preparado lacteo infantil de crecimiento desde 3 anos nestle junior original sin gluten y sin azucar anadido brik 1 l,brik 1 l,2.39,2.39,nestle,bebe
tarrito de arroz con pollo y verduritas desde 6 meses ecologico carrefour baby bio pack de 2 unidades de 200 g,pack de 2 unidades de 200 g,2.85,7.125,carrefour bio,bebe
panales dodot bebe seco t6 13 18 kg 66 ud,18 kg,22.2,1.2333333333333334,dodot bebe seco,bebe
papilla infantil desde 6 meses avena integral con ciruela gerber sin azucar anadido 250 g ,250 g,4.89,19.56,gerber,bebe
postre lacteo de galleta desde 12 meses nestle yogolino pack de 4 unidades de 100 g,pack de 4 unidades de 100 g,3.19,7.975,yogolino,bebe
agua de colonia fragancia original con menos alcohol nenuco 1100 ml,1100 ml,6.79,6.172727272727272,nenuco,bebe
tarrito de multifrutas con mango desde 6 meses ecologico hero solo 120 g,120 g,1.62,13.500000000000002,hero,bebe
tarrito de guisito de alubias desde 6 meses ecologico smileat sin gluten 230 g,230 g,2.59,11.26086956521739,smileat,bebe
bolsita de cereza acai y amaranto desde 8 meses ecologico smileat sin gluten 100 g,100 g,1.81,18.099999999999998,smileat,bebe
panales dodot bebe seco t7 15 kg 60 ud,15 kg,22.0,1.4666666666666666,dodot bebe seco,bebe
