nombre,formato,precio,precio_ud/Kg/L,marca,categoria
plato grande carton 22 cm 20 u,20 u,1.99,0.1,BETIK,bazar
"removedor reutilizable, maiz 50 u",50 u,0.99,0.02,BETIK,bazar
set de cuchillo tenedor y servilleta maiz 1 u,1 u,0.2,0.2,BETIK,bazar
tenedor desechable maiz 6 unidades 6 u,6 unidades,0.85,0.14,BETIK,bazar
vaso carton kraft 120 ml 12 u,120 ml,0.99,0.08,BETIK,bazar
vaso desechable pla compostable 220 ml 15 u,220 ml,1.95,0.13,BETIK,bazar
"vaso papel blanco, 240 ml 20 u",240 ml,2.29,0.11,BETIK,bazar
vasos pla 1000 cc desechable 10 u,10 u,3.49,0.35,BETIK,bazar
briqueta carbon premium 3 kg,3 kg,4.49,1.5,BRIQUET SUR,bazar
carbon vegetal premium bolsa 3 kg,3 kg,3.95,1.32,BRIQUET SUR,bazar
pila cegasa lr14 c superalkaline 2 x 1 u,2 x 1 u,4.49,2.25,CEGASA,bazar
pila cegasa lr20 d superalkaline 2 x 1 u,2 x 1 u,4.49,2.25,CEGASA,bazar
pila super alcalina aa blister 4+2 gratis 6 u,6 u,3.79,0.63,CEGASA,bazar
pila super alcalina aaa blister 4+2 gratis 6 u,6 u,3.79,0.63,CEGASA,bazar
vaso perfumado jazmin 1 u,1 u,1.95,1.95,CERAS ROURA,bazar
set hermeticos 1 l rectangular 5 u,1 l,2.25,0.45,CONSERVERS,bazar
aluminio 30 m,1 paquete,2.15,0.07,CONSUM,bazar
aluminio 50 m,1 paquete,3.39,0.07,CONSUM,bazar
bolsa basura compostable 10 litros 15 u,15 u,1.75,0.12,CONSUM,bazar
bolsas basura autocierre blanca de  50 litros 15 u,15 u,1.6,0.11,CONSUM,bazar
bolsas basura autocierre gris de 30 litros 40 u,40 u,1.65,0.04,CONSUM,bazar
bolsas basura autocierre lila perfumada 30 litros 20 u,20 u,1.45,0.07,CONSUM,bazar
bolsas basura autocierre perfumada blanca 10l 40 u,10l,1.35,0.03,CONSUM,bazar
bolsas basura envases 30 litros 30 u,30 u,1.65,0.06,CONSUM,bazar
bolsas basura reciclada cubo alto 20 u,20 u,1.85,0.09,CONSUM,bazar
bolsas congelacion grande 30 u,30 u,1.1,0.04,CONSUM,bazar
bolsas congelacion mediana 40 u,40 u,0.95,0.02,CONSUM,bazar
bolsas reutilizables multiusos zip mediana 15 u,15 u,1.4,0.09,CONSUM,bazar
bolsas reutilizables multiusos zip pequeña 20 u,20 u,1.3,0.07,CONSUM,bazar
bolsas reutilizables multiusos zipper m 15 u,15 u,1.4,0.09,CONSUM,bazar
bolsas de bocadillo 40 u,40 u,1.25,0.03,CONSUM,bazar
film resistente 30 m,1 paquete,1.25,0.04,CONSUM,bazar
film transparente 80 m,1 paquete,1.65,0.02,CONSUM,bazar
papel vegetal 30 u,30 u,1.7,0.06,CONSUM,bazar
bolsa plegable compra reciclada 1 u,1 u,1.75,1.75,DIDEX,bazar
bolsa para vino recliclada surtida 1 u,1 u,0.99,0.99,DIDEX,bazar
bolsa para vino yute 1 u,1 u,1.65,1.65,DIDEX,bazar
pila aa power energizer 4 u,4 u,2.99,0.75,ENERGIZER,bazar
pila alcalina aa max 6+4 10 u,x 6,7.29,0.73,ENERGIZER,bazar
pila alcalina aaa blister 4 mas 2 6 x 1 u,6 x 1 u,5.39,0.9,ENERGIZER,bazar
pila alcalina mini a23 pack de 1 unidad 1 u,1 u,1.99,1.99,ENERGIZER,bazar
pila boton cr 2032 ultimate lithium 2 u,2 u,5.49,2.75,ENERGIZER,bazar
pila litio boton cr 2025 2 u,2 u,4.89,2.45,ENERGIZER,bazar
pila litio boton cr 2032 2 u,2 u,4.89,2.45,ENERGIZER,bazar
pila power aaa 4 u,4 u,2.99,0.75,ENERGIZER,bazar
pila recargable aa hr06 blister 4 unidades 4 x 1 u,4 x 1 u,7.9,1.98,ENERGIZER,bazar
pila recargable aaa pack de 4 unidades 4 x 1 u,pack de 4 unidades,7.9,1.98,ENERGIZER,bazar
film transparente con hoja cortafacil 80 ml,80 ml,1.85,23.13,FILMFIX,bazar
encendedor cocina 1 u,1 u,2.57,2.57,FLAM UP,bazar
fosforos de madera 10 u,10 u,0.99,0.1,FLAM UP,bazar
fosforos de madera para cocina 3 u,3 u,1.1,0.37,FLAM UP,bazar
mechero curve mini colores surtidos 3 u,3 u,2.5,0.83,FLAM UP,bazar
bolsas vacio dos rollos 2 u,2 u,4.49,2.25,FLISS,bazar
molde aluminio flanera 12 u,12 u,1.99,0.17,FLISS,bazar
"molde aluminio rectangular, 0,5 l 5 u","0,5 l",1.95,0.39,FLISS,bazar
"molde aluminio rectangular, 1 l 3 u",1 l,3.35,1.12,FLISS,bazar
"molde aluminio rectangular, 2,2 l 2 u","2,2 l",2.39,1.2,FLISS,bazar
"molde aluminio rectangular, 2,7 l 2 u","2,7 l",2.45,1.23,FLISS,bazar
"molde aluminio redondo, 1 l 3 u",1 l,1.99,0.66,FLISS,bazar
molde papel air fryer 20 cm 50 u,50 u,2.5,0.05,FLISS,bazar
pastillas de encendido sin olor 36 u,36 u,1.05,0.03,FOC D'OR,bazar
hermetic twist c/rosca 1000 ml  pack de 2 uds 2 x 1 u,pack de 2 uds,2.05,1.03,FRES-CO,bazar
papel multiusos 30 m,1 paquete,2.49,0.08,GREEN FLISS,bazar
bolsa basura antigoteo resistente 8 u,8 u,2.49,0.31,HANDY BAG,bazar
bolsa basura perfumada 12 u,12 u,2.6,0.22,HANDY BAG,bazar
bolsa basura resistente antigoteo 12 u,12 u,2.49,0.21,HANDY BAG,bazar
bolsa termobac 25 lt 1 u,1 u,1.95,1.95,INCOPLAS,bazar
pack velas cilindricas color blanco 4 u,4 u,1.65,0.41,LUMINUM,bazar
pack velon pequeño color rojo 3 u,3 u,0.99,0.33,LUMINUM,bazar
pack de tealights 4 horas 30 u,30 u,4.69,0.16,LUMINUM,bazar
filtros para cafetera 1x4 40 u,1x4,2.45,0.06,MELITTA,bazar
sacacorchos modelo dos manos 1 u,1 u,3.99,3.99,METALTEX,bazar
vela halloween naranja 1 u,1 u,1.99,1.99,MORALES,bazar
vela halloween negra 1 u,1 u,1.99,1.99,MORALES,bazar
gel de encendido 500 ml 1 u,500 ml,2.79,2.79,OK FUEGO,bazar
tapon de silicona cava o champagne 1 u,1 u,2.99,2.99,PULLTEX,bazar
tapon para vino de silicona 1 u,1 u,2.69,2.69,PULLTEX,bazar
blister incienso aroma jazmin 1 u,1 u,0.99,0.99,ROURA,bazar
soporte incienso madera 1 u,1 u,1.19,1.19,ROURA,bazar
vaso satinado perfumado clean linen 1 u,1 u,1.95,1.95,ROURA,bazar
vaso satinado perfumado pink flower 1 u,1 u,1.95,1.95,ROURA,bazar
"vela de aniversario roja, numero 0 1 u",1 u,0.75,0.75,ROURA,bazar
"vela de aniversario roja, numero 2 1 u",1 u,0.75,0.75,ROURA,bazar
"vela de aniversario roja, numero 7 1 u",1 u,0.75,0.75,ROURA,bazar
"vela de aniversario roja, numero 9 1 u",1 u,0.75,0.75,ROURA,bazar
"vela de aniversario roja, numero ? 1 u",1 u,0.75,0.75,ROURA,bazar
vela de aniversario roja numero 1 1 u,1 u,0.75,0.75,ROURA,bazar
vela de aniversario roja numero 3 1 u,1 u,0.75,0.75,ROURA,bazar
vela de aniversario roja numero 4 1 u,1 u,0.75,0.75,ROURA,bazar
vela en vaso satinado canela 1 u,1 u,1.95,1.95,ROURA,bazar
vela en vaso satinado frutas del bosque 1 u,1 u,1.95,1.95,ROURA,bazar
vaso de cubata 550 ml reutilizable 10 u,550 ml,1.65,0.17,SP BERNER,bazar
"papel regalo kraft 70 cm x 1,5 metros 1 u",x 1,0.95,0.95,TIMBRADOS,bazar
funda nordica blue 135cm 1 u,1 u,18.99,18.99,TORRETTA,bazar
funda nordica blue 150cm 1 u,1 u,20.99,20.99,TORRETTA,bazar
funda nordica grey 150cm 1 u,1 u,20.99,20.99,TORRETTA,bazar
funda norida grey 135cm 1 u,1 u,18.99,18.99,TORRETTA,bazar
juego sabanas blue 135cm 1 u,1 u,18.99,18.99,TORRETTA,bazar
juego sabanas grey 135cm 1 u,1 u,18.99,18.99,TORRETTA,bazar
juego sabanas grey 150cm 1 u,1 u,20.99,20.99,TORRETTA,bazar
juegos sabanas blue 150cm 1 u,1 u,20.99,20.99,TORRETTA,bazar
dispensador de agua automatico carga usb 1 u,1 u,9.99,9.99,WORLD ENERGY,bazar
dispensador de agua manual 1 u,1 u,3.99,3.99,WORLD ENERGY,bazar
vino blanco turbio,1 paquete,2.0,2.67,Desconocida,bebidas
"cerveza artesana rubia botella 0,33 l","botella 0,33 l",1.29,3.91,18/70 RUBIA,bebidas
