nombre,formato,precio,precio_ud/Kg/L,marca,categoria
"cava semi carta nevada d.o.cava 0,75 l","0,75 l",6.95,9.27,FREIXENET,bebidas
"freixenet sin alcohol 0,75 l","0,75 l",7.45,9.93,FREIXENET,bebidas
"ice cuvee rosado d.o.cava 0,75 l","0,75 l",9.99,13.32,FREIXENET,bebidas
kombucha frutos rojos 250 ml,250 ml,1.69,6.76,FRUTAE,bebidas
kombucha limon y jengibre 250 ml,250 ml,1.69,6.76,FRUTAE,bebidas
limonada 100% exprimida 1 l,1 l,2.45,2.45,FRUTAE,bebidas
smoothie frutos rojos 250 ml,250 ml,1.09,4.36,FRUTAE,bebidas
"smoothie kiwi, piña con spirulina 250 ml",250 ml,1.09,4.36,FRUTAE,bebidas
smoothie mango y coco 250 ml,250 ml,1.09,4.36,FRUTAE,bebidas
zumo frutas tropicales 750 ml,750 ml,2.09,2.79,FRUTAE,bebidas
"zumo manzana, naranja y zanahoria ace 750 ml",750 ml,2.09,2.79,FRUTAE,bebidas
zumo tropical con kale refrigerado 750 ml,750 ml,2.25,3.0,FRUTAE,bebidas
zumo de frutas con naranja 750 ml,750 ml,2.19,2.92,FRUTAE,bebidas
zumo de naranja sin pulpa 750 ml,750 ml,2.19,2.92,FRUTAE,bebidas
"bebida de te maracuya pet 0,5 l","0,5 l",1.49,2.98,FUZE TEA,bebidas
"te limon lata. 0,33 l","0,33 l",0.99,3.0,FUZE TEA,bebidas
"te limon pet 0,5 l","0,5 l",1.49,2.98,FUZE TEA,bebidas
"te limon pet 1,5 l","1,5 l",1.99,1.33,FUZE TEA,bebidas
"te limon sin azucar pet 1,5 l","1,5 l",1.99,1.33,FUZE TEA,bebidas
"te maracuya pet 1,5 l","1,5 l",1.99,1.33,FUZE TEA,bebidas
"te verde maracuya lata 0,33 l","lata 0,33 l",0.99,3.0,FUZE TEA,bebidas
"agua de valencia 0,75 l","0,75 l",6.99,9.32,GALA D'OR,bebidas
"vino blanco godello vino de la tierra 0,75 l","0,75 l",4.99,6.65,GALIZEUS,bebidas
"vino tinto i.g.p. ribera del queiles 0,75 l","0,75 l",8.95,11.93,GAR.SALVAJE,bebidas
"vino blanco afrutado region castilla la mancha 0,75 l","0,75 l",2.1,2.8,GARABATO,bebidas
"cajon gin fresa 0,4 l","0,4 l",9.29,23.23,GIN ROSEE,bebidas
"licor de manzana verde 0,7 l","0,7 l",3.59,5.13,GINERS,bebidas
"licor de melocoton 0,7 l","0,7 l",3.59,5.13,GINERS,bebidas
"whisky malta 12 años 0,7 l","0,7 l",43.5,62.14,GLENFIDDICH,bebidas
"whisky scotch 0,7 l","0,7 l",6.99,9.99,GLENWOOD,bebidas
"sidra natural asturiana 0,7 l","0,7 l",2.29,3.27,GOBERNADOR,bebidas
"cerveza belga chrome lata 0,5 l","lata 0,5 l",1.55,3.1,GORDON,bebidas
"ginebra 0,7 l","0,7 l",11.99,17.13,GORDON'S,bebidas
bebida pitaya y guayaba botella pet 1 l,1 l,2.89,2.89,GRANINI,bebidas
bebida a base de zumo de melocoton pet 1 l,1 l,2.89,2.89,GRANINI,bebidas
"bebida a base de zumo de melocoton tetrabrik 3 x 0,2 l",3 x 0,1.69,2.82,GRANINI,bebidas
bebida a base de zumo de pomelo rosa pet 1 l,1 l,2.89,2.89,GRANINI,bebidas
bebida de arandanos y uva antiox pet 1 l,1 l,2.99,2.99,GRANINI,bebidas
bebida de multifrutas con 11 vitaminas pet 1 l,1 l,2.99,2.99,GRANINI,bebidas
"nectar melocoton botella 0,33 l","botella 0,33 l",1.19,3.6,GRANINI,bebidas
nectar naranja botella pet 1 l,1 l,2.99,2.99,GRANINI,bebidas
nectar pera botella pet 1 l,1 l,2.89,2.89,GRANINI,bebidas
"nectar piña botella 0,33 l","botella 0,33 l",1.19,3.6,GRANINI,bebidas
nectar piña botella pet 1 l,1 l,2.89,2.89,GRANINI,bebidas
"nectar piña pack de 3 3 x 0,2 l",3 x 0,1.69,2.82,GRANINI,bebidas
nectar platano botella pet 1 l,1 l,2.89,2.89,GRANINI,bebidas
zumo de manzana 100% premium pet 1 l,1 l,3.09,3.09,GRANINI,bebidas
"licor de manzana 0,7 l","0,7 l",8.1,11.57,GRANPOMIER,bebidas
"cerveza especial abadia botella 0,33 l","botella 0,33 l",1.99,6.03,GRIMBERGEN,bebidas
"vino tinto monastrell vino de la tierra 0,75 l","0,75 l",3.99,5.32,GUARDIANES,bebidas
"cerveza negra irlandesa lata 0,44 l","lata 0,44 l",2.89,6.57,GUINNESS,bebidas
whisky escoces 1 l,1 l,13.9,13.9,H.QUEEN,bebidas
"vino tinto region caceres 0,75 l","0,75 l",8.2,10.93,HABLA,bebidas
"ron añejo cubano 0,7 l","0,7 l",14.95,21.36,HAVANA CLUB,bebidas
"ron añejo cubano 3 años 0,7 l","0,7 l",13.9,19.86,HAVANA CLUB,bebidas
"ron especial 7 años 0,7 l","0,7 l",24.5,35.0,HAVANA CLUB,bebidas
"cerveza holandesa 0,0 botella 6 x 0,25 l",6 x 0,3.99,2.66,HEINEKEN,bebidas
"cerveza holandesa 0,0 lata 0,33 l","lata 0,33 l",0.69,2.09,HEINEKEN,bebidas
"cerveza holandesa lata 0,33 l","lata 0,33 l",0.69,2.09,HEINEKEN,bebidas
"cerveza holandesa lata 0,5 l","lata 0,5 l",1.49,2.98,HEINEKEN,bebidas
"cerveza holandesa pack de 6 botellas 6 x 0,25 l",pack de 6 botellas,3.96,2.64,HEINEKEN,bebidas
"vino tinto d.o. ribera del duero 0,75 l","0,75 l",12.5,16.67,HITO,bebidas
"cerveza 0%0 pack de 6 botellas 6 x 0,25 l",pack de 6 botellas,2.16,1.44,HOCHSTER,bebidas
"cerveza 0,0% lata 0,33 l","lata 0,33 l",0.36,1.09,HOCHSTER,bebidas
"cerveza lager lata 0,33 l","lata 0,33 l",0.3,0.91,HOCHSTER,bebidas
"cerveza radler limon lata 0,33 l","lata 0,33 l",0.41,1.24,HOCHSTER,bebidas
"cerveza tostada 0,0 lata 0,33 l","lata 0,33 l",0.46,1.39,HOCHSTER,bebidas
"cerveza sin filtrar lata 0,33 l","lata 0,33 l",0.49,1.48,HOCHSTER,bebidas
"agua vitaminada antiox pet 0,5 l","0,5 l",1.99,3.98,HOHES C,bebidas
"agua vitaminada revitalize pet 0,5 l","0,5 l",1.99,3.98,HOHES C,bebidas
"vino tinto crianza d.o.navarra 0,75 l","0,75 l",4.99,6.65,HOMENAJE,bebidas
"cerveza doble ipa lata 0,33 l","lata 0,33 l",1.39,4.21,HOPPY FLOWER,bebidas
"vino blanco chardonnay d.o.utiel-requena 0,75 l","0,75 l",4.99,6.66,HOYA CADENAS,bebidas
"vino tinto reserva d.o.utiel-requena 0,75 l","0,75 l",4.15,5.53,HOYA CADENAS,bebidas
"vino tinto shiraz d.o. utiel requena 0,75 l","0,75 l",2.99,3.99,HOYA CADENAS,bebidas
"vino blanco d.o. valencia 0,75 l","0,75 l",6.99,9.32,HUELLA,bebidas
"vino tinto garnacha d.o. valencia 0,75 l","0,75 l",6.99,9.32,HUELLA,bebidas
"licor crema de arroz 0,7 l","0,7 l",5.99,8.56,HUERTA ONDA,bebidas
"licor crema de arroz con fresas 0,7 l","0,7 l",5.69,8.13,HUERTA ONDA,bebidas
"vino rosado lambrusco 0,75 l","0,75 l",2.15,2.87,I LOVE ITALY,bebidas
"vino tinto shiraz d.o.valencia 0,75 l","0,75 l",6.39,8.52,ICONO,bebidas
"whisky scotch 0,7 l","0,7 l",11.95,17.07,J&B,bebidas
whisky scotch 1 l,1 l,16.95,16.95,J&B,bebidas
"vino blanco 0,0 alcohol vino sin alcohol 0,75 l","0,75 l",4.25,5.67,J. DE JUANES,bebidas
"vino blanco d.o.valencia 0,75 l","0,75 l",3.39,4.52,J. DE JUANES,bebidas
"vino rosado palido d.o.valencia 0,75 l","0,75 l",3.39,4.52,J. DE JUANES,bebidas
"vino tinto vendimia oro d.o.valencia 0,75 l","0,75 l",5.69,7.59,J. DE JUANES,bebidas
"vino tinto vendimia plata d.o.valencia 0,75 l","0,75 l",4.65,6.2,J. DE JUANES,bebidas
"whisky scocth black 12 años 0,7 l","0,7 l",28.9,41.29,J.WALKER,bebidas
"whisky scotch red 0,7 l","0,7 l",14.45,20.64,J.WALKER,bebidas
"whisky tennessee 0,7 l","0,7 l",23.25,33.21,JACK DANIELS,bebidas
"licor hierbas 0,7 l","0,7 l",9.99,14.27,JAKE MATE,bebidas
"whisky irlandes 0,7 l","0,7 l",19.9,28.43,JAMESON,bebidas
"vino blanco semi dulce d.o.valencia 0,75 l","0,75 l",2.45,3.27,JARDIN REAL,bebidas
"cava brut nature d.o.cava 0,75 l","0,75 l",3.95,5.27,JAUME SERRA,bebidas
"cava brut nature vintage d.o. cava 0,75 l","0,75 l",4.75,6.34,JAUME SERRA,bebidas
"cava rosado d.o. cava 0,75 l","0,75 l",3.55,4.73,JAUME SERRA,bebidas
"whisky bourbon americano 0,7 l","0,7 l",13.6,19.43,JIM BEAN,bebidas
"tequila especial oro 0,7 l","0,7 l",16.9,24.14,JOSE CUERVO,bebidas
"vino blanco verdejo d.o. rueda 0,75 l","0,75 l",10.95,14.6,JOSÉ PARIENT,bebidas
"vino tinto crianza d.o.jumilla 0,75 l","0,75 l",12.8,17.07,JUAN GIL,bebidas
"cava brut nature g.rsva d.o.cava 0,75 l","0,75 l",20.9,27.87,JUVE CAMPS,bebidas
bebida piña y pera corazon 1 l,1 l,1.99,1.99,JUVER,bebidas
bebida uva-granada antiox 1 l,x 1,1.99,1.99,JUVER,bebidas
"nectar melocoton sin azucar 6 x 0,2 l",6 x 0,2.85,2.38,JUVER,bebidas
nectar arandanos sin azucares añadidos 1 l,1 l,1.99,1.99,JUVER,bebidas
nectar maracuya sin azucar añadido brik 1 l,brik 1 l,1.99,1.99,JUVER,bebidas
"nectar melocoton sin azucar añadido brick 1,5 l","1,5 l",2.25,1.5,JUVER,bebidas
"nectar naranja exprimida sin azucar añadido brik 1,5 l","brik 1,5 l",2.25,1.5,JUVER,bebidas
"nectar piña sin azucar añadido brick 1,5 l","1,5 l",3.15,2.1,JUVER,bebidas
"nectar piña sin azucar añadido brik 6 x 0,2 l",6 x 0,2.85,2.38,JUVER,bebidas
zumo manzana 100% free 1 l,1 l,2.49,2.49,JUVER,bebidas
zumo multifrutas 100% free 1 l,1 l,1.99,1.99,JUVER,bebidas
zumo piña 100% free 1 l,1 l,2.49,2.49,JUVER,bebidas
"licor hierbas 0,7 l","0,7 l",14.4,20.57,JÄGERMEISTER,bebidas
"bitter sin alcohol lata 0,33 l","lata 0,33 l",0.99,3.0,KAS,bebidas
"bitter sin alcohol pack de 6 vidrio 6 x 0,2 l",6 x 0,5.49,4.58,KAS,bebidas
kombucha frutos rojos bebida organica 250 ml,250 ml,2.65,10.6,KOMVIDA,bebidas
kombucha jengibre y limon bebida organica 250 ml,250 ml,2.65,10.6,KOMVIDA,bebidas
kombucha superglow bebida organica 250 ml,250 ml,2.65,10.6,KOMVIDA,bebidas
kombucha sabor naranja bebida organica 250 ml,250 ml,2.65,10.6,KOMVIDA,bebidas
"cider lata manzana 0,33 l","0,33 l",1.49,4.52,L.MANZANAS,bebidas
"cider manzana 0,25 l","0,25 l",0.99,3.96,L.MANZANAS,bebidas
"cider red berries 0,25 l","0,25 l",0.99,3.96,L.MANZANAS,bebidas
"gaseosa botella 0,5 l","botella 0,5 l",0.84,1.68,LA CASERA,bebidas
"gaseosa hierbabuena lata 0,33 l","lata 0,33 l",0.64,1.94,LA CASERA,bebidas
"gaseosa lata 0,33 l","lata 0,33 l",0.64,1.94,LA CASERA,bebidas
"gaseosa limon lata 0,33 l","lata 0,33 l",0.64,1.94,LA CASERA,bebidas
"gaseosa. botella 1,5 l","botella 1,5 l",1.0,0.66,LA CASERA,bebidas
tinto verano limon lata 330 ml,lata 330 ml,0.92,2.79,LA CASERA,bebidas
"tinto de verano clasico 1,5 l","1,5 l",2.37,1.58,LA CASERA,bebidas
tinto de verano clasico lata 330 ml,lata 330 ml,0.92,2.79,LA CASERA,bebidas
"tinto de verano limon 0,0 sin alcohol lata 330 ml",lata 330 ml,0.92,2.79,LA CASERA,bebidas
"tinto de verano limon 1,5 l","1,5 l",2.37,1.58,LA CASERA,bebidas
"tinto de verano limon0.0 sin alcohol botella pet 1,5 l","1,5 l",2.37,1.58,LA CASERA,bebidas
"manzanilla d.o.sanlucar barrameda 0,75 l","0,75 l",4.15,5.53,LA SEÑORITA,bebidas
"cerveza artesana 0,33 l","0,33 l",2.65,8.03,LA SOCARRADA,bebidas
"vino blanco d.o.valencia 0,75 l","0,75 l",4.99,6.65,LA TRACA,bebidas
"vino tinto ecologico d.o.valencia 0,75 l","0,75 l",4.99,6.65,LA TRACA,bebidas
"vino blanco d.o.alicante 0,75 l","0,75 l",6.69,8.92,LA TREMENDA,bebidas
"vino tinto monastrell d.o.alicante 0,75 l","0,75 l",6.69,8.92,LA TREMENDA,bebidas
"vino tinto crianza d.o.rioja 0,75 l","0,75 l",7.49,9.99,LAGUNILLA,bebidas
"refresco lima-limon lata 0,33 l","lata 0,33 l",0.85,2.58,LAIMON,bebidas
"agua mineral natural. botella 1,5 l","botella 1,5 l",0.73,0.49,LANJARON,bebidas
ginebra 1 l,1 l,12.2,12.2,LARIOS,bebidas
"ginebra 12 0,7 l","0,7 l",14.75,21.07,LARIOS,bebidas
"ginebra rose 0,7 l","0,7 l",14.75,21.07,LARIOS,bebidas
"vino tinto d.o. almansa 0,75 l","0,75 l",6.65,8.87,LAYA,bebidas
"peppermint 0,7 l","0,7 l",6.49,9.27,LE CASTEUR,bebidas
"cerveza blonde abadia botella 0,33 l","botella 0,33 l",2.19,6.64,LEFFE,bebidas
"vino tinto roble d.o.ribera del duero 0,75 l","0,75 l",9.45,12.6,LEGARIS,bebidas
"vino tinto d.o.valencia 0,75 l","0,75 l",9.99,13.32,LES ALCUSSES,bebidas
refresco fr. rojos instantaneo sin azucar 8 l,8 l,2.15,0.27,LOADING,bebidas
te limon instantaneo sin azucar 8 sobres 8 l,8 l,2.15,0.27,LOADING,bebidas
"vino blanco albariño d.o. rias baixas 0,75 l","0,75 l",8.99,11.99,LOLO,bebidas
"vino blanco con barrica d.o.rioja 0,75 l","0,75 l",4.6,6.14,LOPEZ HARO,bebidas
"vino tinto crianza d.o.rioja 0,75 l","0,75 l",7.15,9.54,LOPEZ HARO,bebidas
"vino blanco d.o.valdepeñas 0,75 l","0,75 l",2.39,3.19,LOS MOLINOS,bebidas
"vino rosado d.o.valdepeñas 0,75 l","0,75 l",2.39,3.19,LOS MOLINOS,bebidas
"vino tinto joven d.o.valdepeñas 0,75 l","0,75 l",2.39,3.19,LOS MOLINOS,bebidas
"vino tinto crianza d.o. rioja 0,75 l","0,75 l",12.5,16.67,LUIS CAÑAS,bebidas
"refresco agua con gas limon botella 0,5 l","botella 0,5 l",1.08,2.16,M. PERRIER,bebidas
"vino tinto joven d.o.ribera del duero 0,75 l","0,75 l",4.99,6.65,M.BERDUGO,bebidas
"anisette dulce 0,7 l","0,7 l",7.65,10.93,M.BRIZARD,bebidas
"sidra natural 0,7 l","0,7 l",2.1,3.0,M.BUSTO,bebidas
"ginebra 0,7 l","0,7 l",29.5,42.14,M.MILLER´S,bebidas
"cava brut d.o. cava 0,75 l","0,75 l",3.55,4.73,M.MONTE MERU,bebidas
"cava brut nature d.o. cava 0,75 l","0,75 l",3.65,4.87,M.MONTE MERU,bebidas
"cava semi d.o. cava 0,75 l","0,75 l",3.55,4.73,M.MONTE MERU,bebidas
"vino tinto joven d.o.utiel-requena 0,75 l","0,75 l",1.49,1.99,M.VERDELLANO,bebidas
"sidra extra ecologica y vegana 0,75 l","0,75 l",2.89,3.85,MAELOC,bebidas
"brandy 0,7 l","0,7 l",12.59,17.99,MAGNO,bebidas
"cerveza ipa lata 5 estrelllas 0,33 l","0,33 l",1.19,3.61,MAHOU,bebidas
"cerveza reserva botella 0,33 l","botella 0,33 l",1.25,3.79,MAHOU,bebidas
"cerveza tostada 0,0 lata 0,33 l","lata 0,33 l",0.57,1.73,MAHOU,bebidas
"cerveza tostada 0,0 pack de 6 botellas 6 x 0,25 l",pack de 6 botellas,3.69,2.46,MAHOU,bebidas
"cerveza tostada maestra lata 0,33 l","lata 0,33 l",0.89,2.7,MAHOU,bebidas
"cerveza sin alcohol lata 0,33 l","lata 0,33 l",0.75,2.27,MAHOU,bebidas
"cerveza botella pack de 6 botellas 6 x 0,2 l",pack de 6 botellas,2.58,2.15,MAHOU 5 ESTR,bebidas
"cerveza lata 5 estrellas 0,33 l","0,33 l",0.85,2.58,MAHOU 5 ESTR,bebidas
"cerveza sin gluten lata 0,33 l","lata 0,33 l",0.89,2.7,MAHOU 5 ESTR,bebidas
cerveza botella cristal 1 l,1 l,1.89,1.89,MAHOU CLASIC,bebidas
"cerveza botella cristal pack-6 6 x 0,25 l",6 x 0,3.69,2.46,MAHOU CLASIC,bebidas
"cerveza lata 0,33 l","lata 0,33 l",0.62,1.88,MAHOU CLASIC,bebidas
"vino blanco d.o.valencia 0,75 l","0,75 l",6.99,9.32,MALA VIDA,bebidas
"vino tinto crianza d.o.valencia 0,75 l","0,75 l",6.99,9.32,MALA VIDA,bebidas
"ron caribeño 0,7 l","0,7 l",12.95,18.5,MALIBU,bebidas
"cerveza sabor mezcal botella 0,33 l","botella 0,33 l",0.99,3.0,MANITO,bebidas
"vino blanco albariño d.o.rias baixas 0,75 l","0,75 l",18.99,25.32,MAR D.FRADES,bebidas
"vino blanco godello d.o. monterrei 0,75 l","0,75 l",9.99,13.32,MARA MARTIN,bebidas
"vino blanco d.o.alicante 0,75 l","0,75 l",4.95,6.6,MARINA ALTA,bebidas
"vino tinto crianza d.o.rioja 0,75 l","0,75 l",7.25,9.66,MARQ.CACERES,bebidas
"vino tinto reserva d.o.rioja 0,75 l","0,75 l",10.95,14.6,MARQ.CACERES,bebidas
"vino tinto d.o.rioja 0,75 l","0,75 l",5.49,7.32,MARQ.CONCORD,bebidas
"vino blanco verdejo d.o.rueda 0,75 l","0,75 l",9.35,12.47,MARQ.RISCAL,bebidas
"vino tinto reserva d.o.rioja 0,75 l","0,75 l",17.9,23.87,MARQ.RISCAL,bebidas
"vino blanco albariño d.o.rias baixas 0,75 l","0,75 l",14.5,19.33,MARTIN CODAX,bebidas
"aperitivo fiero 0,75 l","0,75 l",10.39,13.85,MARTINI,bebidas
vermut  rojo 1 l,1 l,10.0,10.0,MARTINI,bebidas
vermut blanco 1 l,1 l,10.0,10.0,MARTINI,bebidas
"vino tinto crianza d.o.ribera del duero 0,75 l","0,75 l",23.8,31.73,MATARROMERA,bebidas
"vino rosado aguja 0,75 l","0,75 l",4.49,5.99,MATEUS,bebidas
"vino tinto d.o. toro 0,75 l","0,75 l",7.99,10.65,MATSU,bebidas
"vino blanco verdejo d.o.rueda 0,75 l","0,75 l",3.99,5.32,MAY.CASTILLA,bebidas
"vino tinto crianza d.o.ribera del duero 0,75 l","0,75 l",5.99,7.99,MAY.CASTILLA,bebidas
"bebida refrescante de zumo de manzana 0,75 l","0,75 l",2.4,3.2,MAYADOR,bebidas
"sidra 0,75 l","0,75 l",1.6,2.13,MAYADOR,bebidas
"sidra pack 6 unidades 6 x 0,25 l",pack 6 unidades,4.99,3.33,MAYADOR,bebidas
"vino blanco sauvignon d.o.rueda 0,75 l","0,75 l",6.59,8.78,MELIOR,bebidas
"vino tinto roble d.o.ribera del duero 0,75 l","0,75 l",9.8,13.07,MELIOR,bebidas
"licor de crema catalana 0,7 l","0,7 l",9.69,13.84,MELODY,bebidas
"vino tinto ecologico d.o.el terrerazo 0,75 l","0,75 l",9.5,12.67,MESTIZAJE,bebidas
"vino tinto sin sulfitos d.o. rioja 0,75 l","0,75 l",4.4,5.87,MOARE,bebidas
"champagne brut imperial champagne 0,75 l","0,75 l",44.95,59.93,MOET CHANDON,bebidas
"vino tinto barrica d.o.cariñena 0,75 l","0,75 l",2.99,3.99,MONAST.VIÑAS,bebidas
"vino tinto crianza d.o.cariñena 0,75 l","0,75 l",4.49,5.99,MONAST.VIÑAS,bebidas
"anis dulce 0,7 l","0,7 l",8.7,12.43,MONO,bebidas
"bebida energetica cero green lata 0,5 l","lata 0,5 l",1.45,2.9,MONSTER,bebidas
"bebida energetica green lata 0,5 l","lata 0,5 l",1.45,2.9,MONSTER,bebidas
"bebida energetica lata ultra gold zero 0,5 l","0,5 l",1.45,2.9,MONSTER,bebidas
"bebida energetica light absolutely zero lata 0,5 l","lata 0,5 l",1.45,2.9,MONSTER,bebidas
"bebida energetica light ultra lata 0,5 l","lata 0,5 l",1.45,2.9,MONSTER,bebidas
"bebida energetica mango loco lata 0,5 l","lata 0,5 l",1.45,2.9,MONSTER,bebidas
"bebida energetica rio punch lata 0,5 l","lata 0,5 l",1.45,2.9,MONSTER,bebidas
"bebida energetica ultra fiesta 0,5 l","0,5 l",1.45,2.9,MONSTER,bebidas
"bebida energetica ultra rosa lata 0,5 l","lata 0,5 l",1.45,2.9,MONSTER,bebidas
"bebida energetica zero hamilton lata 0,5 l","lata 0,5 l",1.45,2.9,MONSTER,bebidas
"bebida energetica zero strawerry lata 0,5 l","lata 0,5 l",1.45,2.9,MONSTER,bebidas
"cava brut d.o. cava 0,2 l","0,2 l",1.75,8.75,MONTECASINO,bebidas
"cava brut d.o. cava 0,75 l","0,75 l",3.2,4.27,MONTECASINO,bebidas
"cava semi seco d.o. cava 0,2 l","0,2 l",1.75,8.75,MONTECASINO,bebidas
"cava semi seco d.o. cava 0,75 l","0,75 l",3.2,4.27,MONTECASINO,bebidas
"vino blanco d.o.rioja 0,75 l","0,75 l",5.7,7.6,MQ.CACERES,bebidas
"vino rosado d.o.rioja 0,75 l","0,75 l",5.15,6.87,MQ.CACERES,bebidas
"vino blanco varietal reg. castilla la mancha 0,75 l","0,75 l",5.59,7.45,MUCHO MAS,bebidas
"vino tinto 0,75 l","0,75 l",5.59,7.45,MUCHO MAS,bebidas
"espumoso 0,75 l","0,75 l",3.39,4.52,MUCHO MÁS,bebidas
"kombucha frutos rojos botella 0,25 l","botella 0,25 l",1.95,7.8,MUN,bebidas
"kombucha jengibre y limon botella 0,25 l","botella 0,25 l",1.95,7.8,MUN,bebidas
"vino blanco alma mistica d.o.valencia 0,75 l","0,75 l",4.39,5.85,MURVIEDRO,bebidas
"vino blanco d.o.valencia 0,75 l","0,75 l",4.39,5.85,MURVIEDRO,bebidas
"vino tinto petit verdot d.o.valencia 0,75 l","0,75 l",3.89,5.19,MURVIEDRO,bebidas
"vino tinto reserva d.o.valencia 0,75 l","0,75 l",4.39,5.85,MURVIEDRO,bebidas
"vino tinto region la mancha 0,75 l","0,75 l",4.99,6.65,MUY TOP,bebidas
"ginebra blackberry 0,7 l","0,7 l",7.15,10.21,N.VALLEY,bebidas
"ginebra strawberry 0,7 l","0,7 l",7.15,10.21,N.VALLEY,bebidas
pacharan navarro i.g.pacharan navarro 1 l,1 l,7.25,7.25,NAPAROA,bebidas
"vino blanco chardonnay d.o. utiel requena 0,75 l","0,75 l",3.59,4.79,NEBLA,bebidas
"vino tinto garnacha d.o. utiel requena 0,75 l","0,75 l",3.59,4.79,NEBLA,bebidas
"ron 0,7 l","0,7 l",9.5,13.57,NEGRITA,bebidas
"bebida te maracuya lata 0,33 l","lata 0,33 l",0.74,2.24,NESTEA,bebidas
"bebida te lata 0,33 l","lata 0,33 l",0.74,2.24,NESTEA,bebidas
"bebida te limon pet 1,5 l","1,5 l",1.99,1.33,NESTEA,bebidas
"bebida te limon sin azucar pet 1,5 l","1,5 l",1.99,1.33,NESTEA,bebidas
"bebida te sin azucar lata 0,33 l","lata 0,33 l",0.74,2.24,NESTEA,bebidas
"tonica lata 0,25 l","lata 0,25 l",0.65,2.6,NORDIC MIST,bebidas
"tonica zero lata 0,25 l","lata 0,25 l",0.65,2.6,NORDIC MIST,bebidas
"ginebra 0,7 l","0,7 l",26.9,38.43,NORDÉS,bebidas
"cava brut d.o. cava 0,75 l","0,75 l",8.59,11.45,Nº 1,bebidas
"vino blanco verdejo vino varietal 0,75 l","0,75 l",4.49,5.99,OBEJITA VERD,bebidas
"vino blanco verdejo d.o.rueda 0,75 l","0,75 l",6.99,9.32,OINOZ,bebidas
"refresco aloe fresa botella 0,5 l","botella 0,5 l",1.55,3.1,OKF,bebidas
"refresco aloe vera botella 0,5 l","botella 0,5 l",1.55,3.1,OKF,bebidas
"refresco aloe vera sin azucar botella 0,5 l","botella 0,5 l",1.55,3.1,OKF,bebidas
"vino oporto fine tawny 0,75 l","0,75 l",9.69,12.92,OSBORNE,bebidas
"vino blanco sauvignon d.o.rueda 0,75 l","0,75 l",3.0,4.0,OVACION,bebidas
"ginebra blackberry 0,7 l","0,7 l",16.45,23.5,P.DE INDIAS,bebidas
"ginebra strawberry 0,7 l","0,7 l",16.45,23.5,P.DE INDIAS,bebidas
"bebida energetica original lata 0,5 l","lata 0,5 l",0.79,1.58,PARKOUR,bebidas
"bebida energetica sandia lata 0,5 l","lata 0,5 l",0.79,1.58,PARKOUR,bebidas
vino tinto garrafa 5 l,5 l,5.95,1.19,PARQUE REAL,bebidas
"vino blanco verdejo d.o.rueda 0,75 l","0,75 l",3.29,4.38,PATA NEGRA,bebidas
"vino tinto roble d.o.ribera del duero 0,75 l","0,75 l",5.99,7.99,PATA NEGRA,bebidas
"cerveza dunkel botella 0,5 l","botella 0,5 l",1.55,3.1,PAULANER,bebidas
"cerveza trigo alemana botella 0,5 l","botella 0,5 l",1.55,3.1,PAULANER,bebidas
"cerveza trigo alemana lata 0,5 l","lata 0,5 l",1.99,3.98,PAULANER,bebidas
"vino blanco palomino d.o.ribeiro 0,75 l","0,75 l",4.89,6.52,PAZO,bebidas
"agua mineral con gas botella pet 0,5 l","0,5 l",1.06,2.12,PELLEGRINO,bebidas
refresco cola botella 1 l,botella 1 l,1.0,1.0,PEPSI-COLA,bebidas
"refresco cola lata 0,33 l","lata 0,33 l",0.75,2.27,PEPSI-COLA,bebidas
"refresco cola zero bipack indivisible 2 x 1,75 l",2 x 1,2.8,0.8,PEPSI-COLA,bebidas
refresco cola zero botella 1 l,botella 1 l,1.0,1.0,PEPSI-COLA,bebidas
"refresco cola zero cherry lata 0,33 l","lata 0,33 l",0.75,2.27,PEPSI-COLA,bebidas
"refresco cola zero lata 0,33 l","lata 0,33 l",0.75,2.27,PEPSI-COLA,bebidas
"refresco cola zero lima lata 0,33 l","lata 0,33 l",0.75,2.27,PEPSI-COLA,bebidas
"refresco cola zero lima pet 1,75 l","1,75 l",1.29,0.74,PEPSI-COLA,bebidas
"refresco cola zero sin cafeina lata 0,33 l","lata 0,33 l",0.75,2.27,PEPSI-COLA,bebidas
"refresco cola zero sin cafeina pet 1,75 l","1,75 l",1.29,0.74,PEPSI-COLA,bebidas
"refresco de cola bipack indivisible 2 x 1,75 l",2 x 1,2.8,0.8,PEPSI-COLA,bebidas
"mojito 0,7 l","0,7 l",5.49,7.84,PERLA CARIBE,bebidas
"agua mineral con gas botella pet 0,5 l","0,5 l",0.89,1.78,PERRIER,bebidas
agua mineral con gas botella pet 1 l,1 l,1.49,1.49,PERRIER,bebidas
"vino blanco verdejo d.o.rueda 0,75 l","0,75 l",11.99,15.99,PERRO VERDE,bebidas
"vino rosado aguja v.t.castilla y leon 0,75 l","0,75 l",3.95,5.27,PEÑASCAL,bebidas
vino rosado lata 250 ml,lata 250 ml,1.25,5.0,PEÑASCAL,bebidas
sangria brik 1 l,brik 1 l,1.15,1.15,PEÑASOL,bebidas
vino blanco bag & box 3 l,x 3,5.99,2.0,PEÑASOL,bebidas
vino blanco de mesa brik 1 l,brik 1 l,1.59,1.59,PEÑASOL,bebidas
