codigo_producto,marca,nombre,categoria,precio_actual,precio_anterior,precio_por_unidad,promocion,patrocinado,imagen_url,producto_url,fecha_extraccion
7092138,,,Bazar,"1,20 €",,"1,20 €/1 U",,No,https://cdn-consum.aktiosdigitalservices.com/tol/consum/media/product/img/300x300/7092138_001.jpg?t=20201126105925,https://tienda.consum.es/es/p/velon-rojo-cilindro/7092138,2025-10-18 11:16:25
7092158,,,Bazar,"1,20 €",,"1,20 €/1 U",,No,https://cdn-consum.aktiosdigitalservices.com/tol/consum/media/product/img/300x300/7092158_001.jpg?t=20230428040001,https://tienda.consum.es/es/p/velon-blanco-cilindro/7092158,2025-10-18 11:16:25
7347461,,,Bazar,"1,15 €",,"1,15 €/1 U",,No,https://cdn-consum.aktiosdigitalservices.com/tol/consum/media/product/img/300x300/7347461_001.jpg?t=20200130083007,https://tienda.consum.es/es/p/papel-regalo-surtido-rollo-70-cm-x-2-m/7347461,2025-10-18 11:16:47
7403009,,,Bazar,"1,89 €",,"0,04 €/1 U",,No,https://cdn-consum.aktiosdigitalservices.com/tol/consum/media/product/img/300x300/7403009_001.jpg?t=20220708040002,https://tienda.consum.es/es/p/molde-desechable-para-magdalena/7403009,2025-10-18 11:16:54
7461700,ADI,Bol 11cm Surtido Oslo BIDASOA 1 U,Bazar,"6,99 €",,"6,99 €/1 U",,No,https://cdn-consum.aktiosdigitalservices.com/tol/consum/media/product/img/300x300/7461700_001.jpg?t=20250902091501,https://tienda.consum.es/es/p/bol-11cm-surtido-oslo-bidasoa/7461700,2025-10-18 11:17:15
7461692,ADI,Bol 50cl Oslo BIDASOA 1 U,Bazar,"3,49 €",,"3,49 €/1 U",,No,https://cdn-consum.aktiosdigitalservices.com/tol/consum/media/product/img/300x300/7461692_001.jpg?t=20250902091501,https://tienda.consum.es/es/p/bol-50cl-oslo-bidasoa/7461692,2025-10-18 11:17:15
7461796,ADI,Copa 28cl BIDASOA 1 U,Bazar,"4,49 €",,"4,49 €/1 U",,No,https://cdn-consum.aktiosdigitalservices.com/tol/consum/media/product/img/300x300/7461796_001.jpg?t=20250902091502,https://tienda.consum.es/es/p/copa-28cl-bidasoa/7461796,2025-10-18 11:17:15
7461705,ADI,Fuente Cuadrada 18cm BIDASOA 1 U,Bazar,"3,99 €",,"3,99 €/1 U",,No,https://cdn-consum.aktiosdigitalservices.com/tol/consum/media/product/img/300x300/7461705_001.jpg?t=20250902091502,https://tienda.consum.es/es/p/fuente-cuadrada-18cm-bidasoa/7461705,2025-10-18 11:17:15
7461713,ADI,Fuente Cuadrada 25cm BIDASOA 1 U,Bazar,"7,49 €",,"7,49 €/1 U",,No,https://cdn-consum.aktiosdigitalservices.com/tol/consum/media/product/img/300x300/7461713_001.jpg?t=20250902091502,https://tienda.consum.es/es/p/fuente-cuadrada-25cm-bidasoa/7461713,2025-10-18 11:17:15
7461718,ADI,Fuente Rectangular 20cm BIDASOA 1 U,Bazar,"3,99 €",,"3,99 €/1 U",,No,https://cdn-consum.aktiosdigitalservices.com/tol/consum/media/product/img/300x300/7461718_001.jpg?t=20250902091502,https://tienda.consum.es/es/p/fuente-rectangular-20cm-bidasoa/7461718,2025-10-18 11:17:15
7461726,ADI,Fuente Rectangular 25cm BIDASOA 1 U,Bazar,"4,99 €",,"4,99 €/1 U",,No,https://cdn-consum.aktiosdigitalservices.com/tol/consum/media/product/img/300x300/7461726_001.jpg?t=20250902091502,https://tienda.consum.es/es/p/fuente-rectangular-25cm-bidasoa/7461726,2025-10-18 11:17:15
7461742,ADI,"Fuente Rectangular 30,5c BIDASOA 1 U",Bazar,"6,49 €",,"6,49 €/1 U",,No,https://cdn-consum.aktiosdigitalservices.com/tol/consum/media/product/img/300x300/7461742_001.jpg?t=20250902091502,https://tienda.consum.es/es/p/fuente-rectangular-305c-bidasoa/7461742,2025-10-18 11:17:15
7461812,ADI,"Jarra Vidrio 1,4l Tapa BIDASOA 1 U",Bazar,"7,49 €",,"7,49 €/1 U",,No,https://cdn-consum.aktiosdigitalservices.com/tol/consum/media/product/img/300x300/7461812_001.jpg?t=20250902091502,https://tienda.consum.es/es/p/jarra-vidrio-14l-tapa-bidasoa/7461812,2025-10-18 11:17:15
7461697,ADI,Mug 33cl Surtido Oslo BIDASOA 1 U,Bazar,"4,49 €",,"4,49 €/1 U",,No,https://cdn-consum.aktiosdigitalservices.com/tol/consum/media/product/img/300x300/7461697_001.jpg?t=20250902091501,https://tienda.consum.es/es/p/mug-33cl-surtido-oslo-bidasoa/7461697,2025-10-18 11:17:15
7461759,ADI,Plato 31cm Azul BIDASOA 1 U,Bazar,"9,99 €",,"9,99 €/1 U",,No,https://cdn-consum.aktiosdigitalservices.com/tol/consum/media/product/img/300x300/7461759_001.jpg?t=20250902091502,https://tienda.consum.es/es/p/plato-31cm-azul-bidasoa/7461759,2025-10-18 11:17:15
7461676,ADI,Plato Hondo 20cm BIDASOA 1 U,Bazar,"7,49 €",,"7,49 €/1 U",,No,https://cdn-consum.aktiosdigitalservices.com/tol/consum/media/product/img/300x300/7461676_001.jpg?t=20250902091501,https://tienda.consum.es/es/p/plato-hondo-20cm-bidasoa/7461676,2025-10-18 11:17:08
7461671,ADI,Plato Llano 27cm BIDASOA 1 U,Bazar,"8,49 €",,"8,49 €/1 U",,No,https://cdn-consum.aktiosdigitalservices.com/tol/consum/media/product/img/300x300/7461671_001.jpg?t=20250902091501,https://tienda.consum.es/es/p/plato-llano-27cm-bidasoa/7461671,2025-10-18 11:17:08
7461684,ADI,"Plato Postre 19,5cm BIDASOA 1 U",Bazar,"6,49 €",,"6,49 €/1 U",,No,https://cdn-consum.aktiosdigitalservices.com/tol/consum/media/product/img/300x300/7461684_001.jpg?t=20250902091501,https://tienda.consum.es/es/p/plato-postre-195cm-bidasoa/7461684,2025-10-18 11:17:08
7461788,ADI,S16 Cubiertos BIDASOA 16 U,Bazar,"21,99 €",,"1,37 €/1 U",,No,https://cdn-consum.aktiosdigitalservices.com/tol/consum/media/product/img/300x300/7461788_001.jpg?t=20250902091502,https://tienda.consum.es/es/p/s16-cubiertos-bidasoa/7461788,2025-10-18 11:17:15
7461754,ADI,S2 Manteles Indiv 38cm BIDASOA 2 U,Bazar,"5,49 €",,"2,75 €/1 U",,No,https://cdn-consum.aktiosdigitalservices.com/tol/consum/media/product/img/300x300/7461754_001.jpg?t=20250902091502,https://tienda.consum.es/es/p/s2-manteles-indiv-38cm-bidasoa/7461754,2025-10-18 11:17:15
7461791,ADI,S2 Panera Fibra de Papel BIDASOA 2 U,Bazar,"9,99 €",,"5,00 €/1 U",,No,https://cdn-consum.aktiosdigitalservices.com/tol/consum/media/product/img/300x300/7461791_001.jpg?t=20250902091502,https://tienda.consum.es/es/p/s2-panera-fibra-de-papel-bidasoa/7461791,2025-10-18 11:17:15
7461775,ADI,S4 Boles y Ensaladera BIDASOA 4 U,Bazar,"37,99 €",,"9,50 €/1 U",,No,https://cdn-consum.aktiosdigitalservices.com/tol/consum/media/product/img/300x300/7461775_001.jpg?t=20250902091502,https://tienda.consum.es/es/p/s4-boles-y-ensaladera-bidasoa/7461775,2025-10-18 11:17:15
7461783,ADI,S4 Cuchillo Mantequero BIDASOA 4 U,Bazar,"5,99 €",,"1,50 €/1 U",,No,https://cdn-consum.aktiosdigitalservices.com/tol/consum/media/product/img/300x300/7461783_001.jpg?t=20250902091502,https://tienda.consum.es/es/p/s4-cuchillo-mantequero-bidasoa/7461783,2025-10-18 11:17:15
7461809,ADI,Set Tabla y Cuchillos BIDASOA 1 U,Bazar,"9,99 €",,"9,99 €/1 U",,No,https://cdn-consum.aktiosdigitalservices.com/tol/consum/media/product/img/300x300/7461809_001.jpg?t=20250902091502,https://tienda.consum.es/es/p/set-tabla-y-cuchillos-bidasoa/7461809,2025-10-18 11:17:15
7461804,ADI,Vaso 30cl BIDASOA 1 U,Bazar,"4,49 €",,"4,49 €/1 U",,No,https://cdn-consum.aktiosdigitalservices.com/tol/consum/media/product/img/300x300/7461804_001.jpg?t=20250902091502,https://tienda.consum.es/es/p/vaso-30cl-bidasoa/7461804,2025-10-18 11:17:15
7416089,ALBAL,Aluminio Albal 20CM 20 M,Bazar,"2,85 €","3,29 €","0,14 €/1 M",Ahora más barato,No,https://cdn-consum.aktiosdigitalservices.com/assets/promotion/es/oferta-inmediato.png,https://tienda.consum.es/es/p/aluminio-albal-20cm/7416089,2025-10-18 11:16:25
7067473,ALBAL,Bolsas Cubitos de Hielo Caja 20 U,Bazar,"1,99 €",,"0,10 €/1 U",,No,https://cdn-consum.aktiosdigitalservices.com/tol/consum/media/product/img/300x300/7067473_001.jpg?t=20240720170002,https://tienda.consum.es/es/p/bolsas-cubitos-de-hielo-caja/7067473,2025-10-18 11:16:32
7216849,ALBAL,Bolsas Multiusos Zipper Capacidad 1Litro 12 U,Bazar,"3,25 €",,"0,27 €/1 U",,No,https://cdn-consum.aktiosdigitalservices.com/tol/consum/media/product/img/300x300/7216849_001.jpg?t=20250402091501,https://tienda.consum.es/es/p/bolsas-multiusos-zipper-capacidad-1litro/7216849,2025-10-18 11:16:32
7010150,ALBAL,Film Transparente 30 M,Bazar,"2,49 €",,"0,08 €/1 M",,No,https://cdn-consum.aktiosdigitalservices.com/tol/consum/media/product/img/300x300/7010150_001.jpg?t=20230106040002,https://tienda.consum.es/es/p/film-transparente/7010150,2025-10-18 11:16:32
7074982,ALBAL,Papel de Horno 8 M,Bazar,"2,99 €",,"0,37 €/1 M",,No,https://cdn-consum.aktiosdigitalservices.com/tol/consum/media/product/img/300x300/7074982_001.jpg?t=20221118040001,https://tienda.consum.es/es/p/papel-de-horno/7074982,2025-10-18 11:16:32
7414860,AQUANATUR,Cartuchos de Filtrado Set 2 U,Bazar,"9,99 €",,"5,00 €/1 U",,No,https://cdn-consum.aktiosdigitalservices.com/tol/consum/media/product/img/300x300/7414860_001.jpg?t=20240626091501,https://tienda.consum.es/es/p/cartuchos-de-filtrado-set/7414860,2025-10-18 11:17:02
7414852,AQUANATUR,Jarra Filtrante con 1 Filtro 1 U,Bazar,"19,90 €",,"19,90 €/1 U",,No,https://cdn-consum.aktiosdigitalservices.com/tol/consum/media/product/img/300x300/7414852_001.jpg?t=20240626091501,https://tienda.consum.es/es/p/jarra-filtrante-con-1-filtro/7414852,2025-10-18 11:17:02
7461952,ARCOS,Afilador Cocina . 1 U,Bazar,"7,95 €",,"7,95 €/1 U",,No,https://cdn-consum.aktiosdigitalservices.com/tol/consum/media/product/img/300x300/7461952_001.jpg?t=20250902091502,https://tienda.consum.es/es/p/afilador-cocina-/7461952,2025-10-18 11:17:21
7443612,ARCOS,Chaira Cocina 230 mm 1 U,Bazar,"4,95 €",,"4,95 €/1 U",,No,https://cdn-consum.aktiosdigitalservices.com/tol/consum/media/product/img/300x300/7443612_001.jpg?t=20250829091501,https://tienda.consum.es/es/p/chaira-cocina-230-mm/7443612,2025-10-18 11:17:08
7461887,ARCOS,Cuchillo Cocina 150 mm 1 U,Bazar,"6,95 €",,"6,95 €/1 U",,No,https://cdn-consum.aktiosdigitalservices.com/tol/consum/media/product/img/300x300/7461887_001.jpg?t=20250902091502,https://tienda.consum.es/es/p/cuchillo-cocina-150-mm/7461887,2025-10-18 11:17:15
7461890,ARCOS,Cuchillo Cocina 200 mm 1 U,Bazar,"7,95 €",,"7,95 €/1 U",,No,https://cdn-consum.aktiosdigitalservices.com/tol/consum/media/product/img/300x300/7461890_001.jpg?t=20250902091502,https://tienda.consum.es/es/p/cuchillo-cocina-200-mm/7461890,2025-10-18 11:17:21
7461903,ARCOS,Cuchillo Fileteador 170 mm 1 U,Bazar,"5,95 €",,"5,95 €/1 U",,No,https://cdn-consum.aktiosdigitalservices.com/tol/consum/media/product/img/300x300/7461903_001.jpg?t=20250902091502,https://tienda.consum.es/es/p/cuchillo-fileteador-170-mm/7461903,2025-10-18 11:17:21
7461908,ARCOS,Cuchillo Panero 200 mm 1 U,Bazar,"7,95 €",,"7,95 €/1 U",,No,https://cdn-consum.aktiosdigitalservices.com/tol/consum/media/product/img/300x300/7461908_001.jpg?t=20250902091502,https://tienda.consum.es/es/p/cuchillo-panero-200-mm/7461908,2025-10-18 11:17:21
7443562,ARCOS,Cuchillo Pelador 85 mm 1 U,Bazar,"4,49 €",,"4,49 €/1 U",,No,https://cdn-consum.aktiosdigitalservices.com/tol/consum/media/product/img/300x300/7443562_001.jpg?t=20250829091501,https://tienda.consum.es/es/p/cuchillo-pelador-85-mm/7443562,2025-10-18 11:17:08
7461916,ARCOS,Cuchillo Santoku 180 mm 1 U,Bazar,"9,95 €",,"9,95 €/1 U",,No,https://cdn-consum.aktiosdigitalservices.com/tol/consum/media/product/img/300x300/7461916_001.jpg?t=20250902091502,https://tienda.consum.es/es/p/cuchillo-santoku-180-mm/7461916,2025-10-18 11:17:21
7461874,ARCOS,Cuchillo Verduras 110 mm 1 U,Bazar,"4,95 €",,"4,95 €/1 U",,No,https://cdn-consum.aktiosdigitalservices.com/tol/consum/media/product/img/300x300/7461874_001.jpg?t=20250902091502,https://tienda.consum.es/es/p/cuchillo-verduras-110-mm/7461874,2025-10-18 11:17:15
7461932,ARCOS,Pelador Cocina . 1 U,Bazar,"3,79 €",,"3,79 €/1 U",,No,https://cdn-consum.aktiosdigitalservices.com/tol/consum/media/product/img/300x300/7461932_001.jpg?t=20250902091502,https://tienda.consum.es/es/p/pelador-cocina-/7461932,2025-10-18 11:17:21
7461924,ARCOS,Pelador Tomate . 1 U,Bazar,"3,79 €",,"3,79 €/1 U",,No,https://cdn-consum.aktiosdigitalservices.com/tol/consum/media/product/img/300x300/7461924_001.jpg?t=20250902091502,https://tienda.consum.es/es/p/pelador-tomate-/7461924,2025-10-18 11:17:21
7461965,ARCOS,Set 2 Piezas de Mesa . 2 U,Bazar,"4,95 €",,"2,48 €/1 U",,No,https://cdn-consum.aktiosdigitalservices.com/tol/consum/media/product/img/300x300/7461965_001.jpg?t=20250902091502,https://tienda.consum.es/es/p/set-2-piezas-de-mesa-/7461965,2025-10-18 11:17:21
7443620,ARCOS,Set 4 Cuchillos Chuletero Perlado  105 mm 4 U,Bazar,"8,99 €",,"2,25 €/1 U",,No,https://cdn-consum.aktiosdigitalservices.com/tol/consum/media/product/img/300x300/7443620_001.jpg?t=20250829091501,https://tienda.consum.es/es/p/set-4-cuchillos-chuletero-perlado-105-mm/7443620,2025-10-18 11:17:08
7443625,ARCOS,Set 4 Tenedor Chuletero 90 mm 4 U,Bazar,"8,99 €",,"2,25 €/1 U",,No,https://cdn-consum.aktiosdigitalservices.com/tol/consum/media/product/img/300x300/7443625_001.jpg?t=20250829091501,https://tienda.consum.es/es/p/set-4-tenedor-chuletero-90-mm/7443625,2025-10-18 11:17:08
7461960,ARCOS,Tacoma Blanca 1 U,Bazar,"12,95 €",,"12,95 €/1 U",,No,https://cdn-consum.aktiosdigitalservices.com/tol/consum/media/product/img/300x300/7461960_001.jpg?t=20250902091502,https://tienda.consum.es/es/p/tacoma-blanca/7461960,2025-10-18 11:17:21
7461945,ARCOS,Tijera Cocina . 1 U,Bazar,"3,79 €",,"3,79 €/1 U",,No,https://cdn-consum.aktiosdigitalservices.com/tol/consum/media/product/img/300x300/7461945_001.jpg?t=20250902091502,https://tienda.consum.es/es/p/tijera-cocina-/7461945,2025-10-18 11:17:21
7402597,AROMATIUM,Pack de Tealights Frutas del Bosque 18 U,Bazar,"1,75 €",,"0,10 €/1 U",,No,https://cdn-consum.aktiosdigitalservices.com/tol/consum/media/product/img/300x300/7402597_001.jpg?t=20220806040006,https://tienda.consum.es/es/p/pack-de-tealights-frutas-del-bosque/7402597,2025-10-18 11:16:54
7402605,AROMATIUM,Pack de Tealights Jazmín 18 U,Bazar,"1,75 €",,"0,10 €/1 U",,No,https://cdn-consum.aktiosdigitalservices.com/tol/consum/media/product/img/300x300/7402605_001.jpg?t=20220806040006,https://tienda.consum.es/es/p/pack-de-tealights-jazmin/7402605,2025-10-18 11:16:54
7402600,AROMATIUM,Pack de Tealights Vainilla 18 U,Bazar,"1,75 €",,"0,10 €/1 U",,No,https://cdn-consum.aktiosdigitalservices.com/tol/consum/media/product/img/300x300/7402600_001.jpg?t=20220806040006,https://tienda.consum.es/es/p/pack-de-tealights-vainilla/7402600,2025-10-18 11:16:54
